"family","method","n_trees","nsim","obs_mean","obs_lo","obs_hi","exp_mean","exp_lo","exp_hi","no_overlap","obs_greater"
"Herpestidae","pertree",1000,100,0.0541888827187064,0,0.24,0.105662297932439,0.102704856413219,0.109294478414962,FALSE,FALSE
"Phyllostomidae","pertree",1000,100,0.149664268376673,0,0.477966101694915,0.135858220104439,0.132992658392297,0.138871015293545,FALSE,TRUE
