Species,haploid,Acro,Meta,perc.acro,FNa
Myotis_auriculus,22,32,10,0.761904762,52
Myotis_austroriparius,22,34,8,0.80952381,50
Myotis_becstenii,22,34,8,0.80952381,50
Myotis_blythi,22,34,8,0.80952381,50
Myotis_capaccinii,22,34,8,0.80952381,50
Myotis_carteri,22,34,8,0.80952381,50
Myotis_emarginatus,22,34,8,0.80952381,50
Myotis_evotis,22,32,10,0.761904762,52
Myotis_frater,22,32,10,0.761904762,52
Myotis_grisescens,22,34,8,0.80952381,50
Myotis_hosonoi,22,32,10,0.761904762,52
Myotis_keaysi,22,34,8,0.80952381,50
Myotis_keenii,22,34,8,0.80952381,50
Myotis_macrodactylus,22,32,10,0.761904762,52
Myotis_myotis,22,34,8,0.80952381,50
Myotis_mystacinus,22,32,10,0.761904762,52
Myotis_nattereri,22,34,8,0.80952381,50
Myotis_nigricans,22,34,8,0.80952381,50
Myotis_oxygnathus,22,34,8,0.80952381,50
Myotis_siligerensis,22,32,10,0.761904762,52
Myotis_sodalis,22,34,8,0.80952381,50
Myotis_thysanodes,22,32,10,0.761904762,52
Myotis_velifer,22,34,8,0.80952381,50
Myotis_yumanensis,22,34,8,0.80952381,50
Mystromys_albicaudatus,16,2,28,0.066666667,58
Nandinia_binota,19,2,34,0.055555556,70
Naomorhedus_goral,28,52,1,0.981132075,54
Nasalis_larvatus,24,0,46,0,92
Nectomys_palmipes,8,6,8,0.428571429,22
Nectomys_squamipes,26,50,0,1,50
Neofelis_nebulosa,19,4,32,0.111111111,68
Neomys_anomalus,26,6,44,0.12,94
Neomys_fodiens,26,6,44,0.12,94
Neotoma_albigula,26,42,8,0.84,58
Neotoma_alleni,24,40,6,0.869565217,52
Neotoma_cinerea,27,44,8,0.846153846,60
Neotoma_floridana,26,44,6,0.88,56
Neotoma_fuscipes,28,24,30,0.444444444,84
Neotoma_goldmani,26,46,4,0.92,54
Neotoma_lepida,26,40,10,0.8,60
Neotoma_mexicana,26,48,2,0.96,52
Neotoma_micropus,26,44,6,0.88,56
Neotoma_phenax,19,22,14,0.611111111,50
Neotoma_stephensi,26,42,8,0.84,58
Neotomodon_alstoni,24,30,16,0.652173913,62
Neurotrichus_gibsii,19,0,36,0,72
Ningaui_sp.,7,0,12,0,24
Noctilio_albiventris,17,2,30,0.0625,62
Notlosorex_crawfordi,34,30,36,0.454545455,102
Notomys_alexis,24,42,4,0.913043478,50
Notomys_cervinus,24,16,30,0.347826087,76
Notomys_fuscus,24,44,2,0.956521739,48
Notomys_mitchellii,24,38,8,0.826086957,54
Nyctalus_furvus,22,32,10,0.761904762,52
Nyctalus_lasiopterus,21,30,10,0.75,50
Nyctalus_noctula,21,30,10,0.75,50
Nyctereutes_prcyonoides,21,14,26,0.35,66
Nycticebus_coucang,25,0,48,0,96
Nycticebus_pygmaeus,25,0,48,0,96
Nycticeius_humeralis,23,40,4,0.909090909,48
Nycticeius_schlieffeni,17,12,20,0.375,52
Nyctinomops_laticaudatus,24,28,18,0.608695652,64
Nyctomys_sumichrasti,25,44,4,0.916666667,52
Ochotona_princeps,34,48,18,0.727272727,84
Ochotona_Princeps,34,60,6,0.909090909,72
Octodon_bridgesi,29,0,56,0,112
Octodon_degus,29,0,56,0,112
Octodontomys_gliroides,19,0,36,0,72
Octomys_mimax,28,0,54,0,108
Odobenus_rosmarus,16,0,30,0,60
Odocoileus_hemionus,35,66,2,0.970588235,70
Odocoileus_virginianus,35,66,2,0.970588235,70
Orcinus_orca,22,2,40,0.047619048,82
Oreamnos_americanus,21,22,18,0.55,58
Ornithorhyncus_anatinus,27,0,52,0,104
Orycteropus_afer,10,0,18,0,36
Oryctolagus_cuniculus,22,8,34,0.19047619,76
Oryx_dammah,29,54,2,0.964285714,58
Oryx_gazella_beisa,29,54,2,0.964285714,58
Oryx_gazella_gazella,28,50,4,0.925925926,58
Oryx_leucoryx,29,54,2,0.964285714,58
Oryx_tao,29,54,2,0.964285714,58
Oryzomys_albigularis,33,26,38,0.40625,102
Oryzomys_alfaroi,30,12,46,0.206896552,104
Oryzomys_caudatus,29,44,12,0.785714286,68
Oryzomys_couesi,28,54,0,1,54
Oryzomys_delicatus,30,38,20,0.655172414,78
Oryzomys_fulvescens,30,42,16,0.724137931,74
Oryzomys_macconnelli,32,62,0,1,62
Oryzomys_melanotis,31,50,10,0.833333333,70
Oryzomys_palustris,28,54,0,1,54
Oryzomys_subflavus,25,40,8,0.833333333,56
Otcyon_megalotis,36,66,4,0.942857143,74
Otomops_martienssi,24,34,12,0.739130435,58
Otonycteris_hemprichii,14,6,20,0.230769231,46
Ovis_ammon_cycloceros,29,54,2,0.964285714,58
Ovis_ammon_severtzovi,28,50,4,0.925925926,58
Ovis_aries,27,46,6,0.884615385,58
Ovis_canadiensis_mexicana,27,46,6,0.884615385,58
Ovis_dalli_dalli,27,46,6,0.884615385,58
Ovis_musimon,27,46,6,0.884615385,58
Ovis_nivicola,26,42,8,0.84,58
Ovis_vignei,29,54,2,0.964285714,58
Ozotoceros_bezoarticus,34,62,4,0.939393939,70
Pagophilus_groenlandicus,16,0,30,0,60
Paguna_larvata,22,14,28,0.333333333,70
Pan_paniscus,24,10,36,0.217391304,82
Pan_troglodytes,24,10,36,0.217391304,82
Panthera_leo,19,4,32,0.111111111,68
Panthera_onca,19,4,32,0.111111111,68
Panthera_pardus,19,4,32,0.111111111,68
Panthera_tigris,19,4,32,0.111111111,68
Panthera_uncia,19,4,32,0.111111111,68
Papio_anubis,21,0,40,0,80
Papio_dogera,21,0,40,0,80
Papio_hamadryas,21,0,40,0,80
Papio_papio,21,0,40,0,80
Papio_ursinus,21,0,40,0,80
Pappogeomys_merriami_merriami,18,2,32,0.058823529,66
Paradoxurus_hermaphroditicus,21,12,28,0.3,68
Paraechinus_aethiopicus,24,0,46,0,92
Parascalops_breweri,17,8,24,0.25,56
Paromotys_brantsii,21,2,38,0.05,78
Perameles_nasuta,7,0,12,0,24
Perodictis_potto,31,14,46,0.233333333,106
Perognatus_alticola,27,30,22,0.576923077,74
Perognatus_amplus,28,14,40,0.259259259,94
Perognatus_apache,22,38,4,0.904761905,46
Perognatus_artus,27,48,4,0.923076923,56
Perognatus_baileyi,24,32,14,0.695652174,60
Perognatus_fasciatus,22,36,6,0.857142857,48
Perognatus_flavescens,22,36,6,0.857142857,48
Perognatus_flavus,25,10,38,0.208333333,86
Perognatus_formosus,18,16,18,0.470588235,52
Perognatus_goldmani,26,44,6,0.88,56
Perognatus_hispidus,17,2,30,0.0625,62
Perognatus_inornatus,28,20,34,0.37037037,88
Perognatus_intermedius,23,30,14,0.681818182,58
Perognatus_longimembris,28,20,34,0.37037037,88
Perognatus_merriami,25,10,38,0.208333333,86
Perognatus_parvus,27,36,16,0.692307692,68
Perognatus_penicillatus,23,40,4,0.909090909,48
Perognatus_pernix,19,16,20,0.444444444,56
Perognatus_xanthonatus,27,28,24,0.538461538,76
Peromyscus_banderamus,24,40,6,0.869565217,52
Peromyscus_sp,24,40,6,0.869565217,52
Petaurista_petaurista,19,0,36,0,72
Petrogale_assimilis,10,16,2,0.888888889,20
Petrogale_brachyotis,9,4,12,0.25,28
Petrogale_burbigei,8,0,14,0,28
Petrogale_concinna,8,0,14,0,28
Petrogale_inornata,11,14,6,0.7,26
Petrogale_lateralis_lateralis,11,14,6,0.7,26
Petrogale_lateralis_pearsoni,11,14,6,0.7,26
Petrogale_mareeba,9,14,2,0.875,18
Petrogale_penicillata,11,20,0,1,20
Petrogale_persephone,11,14,6,0.7,26
Petrogale_rothschildi,11,14,6,0.7,26
Petrogale_xanthopus,11,14,6,0.7,26
Phacochoerus_aetiopicus,17,4,28,0.125,60
Phaner_furcifer,23,28,16,0.636363636,60
Phascolomis_mitchelli,7,0,12,0,24
Phascolortis_cinereus,7,0,12,0,24
Philander_archeri,8,0,14,0,28
Philander_mcihennyi,11,20,0,1,20
Philander_opposum,11,20,0,1,20
Phillotis_haggardi,19,0,36,0,72
Phloeomys_cumingi,20,20,18,0.526315789,56
Phoca_hispida_krascheninikovi,16,2,28,0.066666667,58
Phoca_vitulina,16,0,30,0,60
Phocoena_phocoena,22,8,34,0.19047619,76
Phocoenoides_dalli,22,8,34,0.19047619,76
Phodopus_roborovskii,17,8,24,0.25,56
Phodopus_sungorus,14,4,22,0.153846154,48
Phyllonycteris_aphylla,16,0,30,0,60
Phyllonycteris_obtusa,16,0,30,0,60
Phyllops_haitiensis,15,0,28,0,56
Phyllostomus_discolor,16,0,30,0,60
Phyllostomus_elongatus,16,2,28,0.066666667,58
Phyllostomus_hastatus,16,2,28,0.066666667,58
Phyllotis_amicus,19,0,36,0,72
Phyllotis_caprinus,19,0,36,0,72
Phyllotis_darwini,19,0,36,0,72
Phyllotis_gerbilus,19,0,36,0,72
Phyllotis_magister,19,0,36,0,72
Phyllotis_osgoodi,20,4,34,0.105263158,72
Physeter_catodon,21,0,40,0,80
Pipistrellus_endoi,18,18,16,0.529411765,50
Pispitrellus_abramus,13,4,20,0.166666667,44
Pispitrellus_pulveratus,22,32,10,0.761904762,52
Pispitrellus_subflavus,15,6,22,0.214285714,50
Pithecia_pithecia,24,28,18,0.608695652,64
Pitymys_atticus,22,40,2,0.952380952,44
Pitymys_duodecimcostatus,31,48,12,0.8,72
Pitymys_linchensteini,23,40,4,0.909090909,48
Pitymys_mariae,31,50,10,0.833333333,70
Pitymys_multiplex,24,42,4,0.913043478,50
Pitymys_pyrenaicus,27,48,4,0.923076923,56
Pitymys_savii,27,46,6,0.884615385,58
Pitymys_subterraneus,26,46,4,0.92,54
Pitymys_tatricus,16,16,14,0.533333333,44
Pitymys_thomasi,22,42,0,1,42
Platymops_setiger,24,38,8,0.826086957,54
Plecotus_auritus,16,10,20,0.333333333,50
Plecotus_austriacus,16,10,20,0.333333333,50
Plecotus_mexicanus,16,10,20,0.333333333,50
Plecotus_rafinsesqui,16,10,20,0.333333333,50
Plecotus_townsendii,16,10,20,0.333333333,50
Polar_bear,37,68,4,0.944444444,76
Pongo_pygmaeus,24,16,30,0.347826087,76
Potamochoerus_porcus,17,8,24,0.25,56
Presbytis_entelus,22,2,40,0.047619048,82
Priodontes_giganteus,25,24,24,0.5,72
Prionodon_linsang,17,2,30,0.0625,62
Procavia_capensis,27,42,10,0.807692308,62
Procyon_lotor,19,4,32,0.111111111,68
Proechimys_(guairae)_guairae,23,20,24,0.454545455,68
Proechimys_(guairae)_Miranda,24,24,22,0.52173913,68
Proechimys_(guairae)_ochraeus,22,16,26,0.380952381,68
Proechimys_(guairae)_poliopus,21,10,30,0.25,70
Proechymis_(guairae)_Barina,31,50,10,0.833333333,70
Proechymis_(guairae)_Llano,25,28,20,0.583333333,68
Promops_centralis,24,34,12,0.739130435,58
Promops_davisoni,24,34,12,0.739130435,58
Propithecus_diadema,22,10,32,0.238095238,74
Propithecus_tattersalli,21,8,32,0.2,72
Propithecus_verreauxi,24,16,30,0.347826087,76
Psammomys_obesus,24,18,28,0.391304348,74
Pseudoalopex_griseus,37,72,0,1,72
Pseudoalopex_gymnocercus,37,72,0,1,72
Pseudocheirus_dahli,8,0,14,0,28
Pseudocheirus_peregrinus,10,14,4,0.777777778,22
Pseudois_nayaur,27,46,6,0.884615385,58
Pseudomys_albocinereus,24,42,4,0.913043478,50
Pseudomys_australis,24,38,8,0.826086957,54
Pseudomys_delicatius,24,40,6,0.869565217,52
Pseudomys_desertor,24,42,4,0.913043478,50
Pseudomys_fumeus,24,42,4,0.913043478,50
Pseudomys_gracilicaudatus,24,36,10,0.782608696,56
Pseudomys_higginsi,24,40,6,0.869565217,52
Pseudomys_nanus,24,42,4,0.913043478,50
Pseudomys_novaehollandiae,24,40,6,0.869565217,52
Pseudomys_occidentalis,24,40,6,0.869565217,52
Pseudomys_praeconis,24,42,4,0.913043478,50
Pseudomys_shortridgei,24,42,4,0.913043478,50
Pteronotus_davyi,19,12,24,0.333333333,60
Pteronotus_gymnonotus,19,12,24,0.333333333,60
Pteronotus_macleayii,19,12,24,0.333333333,60
Pteronotus_parnelii,19,12,24,0.333333333,60
Pteronotus_personatus,19,12,24,0.333333333,60
Pteronotus_quadridens,19,12,24,0.333333333,60
Pudu_puda,35,66,2,0.970588235,70
Pusa_hispida,16,0,30,0,60
Putorius_furo,20,10,28,0.263157895,66
Rangifer_tarandus,35,66,2,0.970588235,70
Rattus_fuscipes,19,16,20,0.444444444,56
Rattus_leucopus,17,8,24,0.25,56
Rattus_lutreolus,21,24,16,0.6,56
Rattus_natalensis,18,12,22,0.352941176,56
Rattus_norvegicus,21,22,18,0.55,58
Rattus_rattus,19,14,22,0.388888889,58
Rattus_sordidus,16,2,28,0.066666667,58
Rattus_tunneyi,21,22,18,0.55,58
Reithrodontomys_creper,26,50,0,1,50
Reithrodontomys_fulvescens,25,48,0,1,48
Reithrodontomys_gracilis,26,50,0,1,50
Reithrodontomys_humilis,25,48,0,1,48
Reithrodontomys_megalotis,21,0,40,0,80
Reithrodontomys_mexicanus,26,50,0,1,50
Reithrodontomys_montanus,19,36,0,1,36
Reithrodontomys_raviventris,19,0,36,0,72
Reithrodontomys_sumichrasti,20,0,38,0,76
Rhabdomys_pumilio,23,28,16,0.636363636,60
Rhinoceros_unicornis,41,60,20,0.75,100
Rhinophyla_pumilio,18,6,28,0.176470588,62
Rhinophylaa_fischerae,17,8,24,0.25,56
Rhizomys_sumatrensis,25,0,48,0,96
Rhogeesa_genowasyi,21,30,10,0.75,50
Rhogeesa_parvula,22,34,8,0.80952381,50
Rhogeesa_tumida,15,6,22,0.214285714,50
Rhynchotragus_kirki,23,42,2,0.954545455,46
Rhynolophus_acuminatus,31,60,0,1,60
Rhynolophus_affinis,31,50,10,0.833333333,70
Rhynolophus_balsii,29,52,4,0.928571429,60
Rhynolophus_clivosus,29,50,6,0.892857143,62
Rhynolophus_cornutus,31,60,0,1,60
Rhynolophus_darlingi,29,52,4,0.928571429,60
Rhynolophus_euryale,29,52,4,0.928571429,60
Rhynolophus_ferrumequinum,29,50,5,0.908730159,60
Rhynolophus_hipposideros,28,48,6,0.888888889,60
Rhynolophus_luctus,26,40,10,0.8,60
Rhynolophus_malayanus,31,60,0,1,60
Rhynolophus_monoceros,31,60,0,1,60
Rhynolophus_pusillus,31,60,0,1,60
Rousettus_aegyptiacus,18,4,30,0.117647059,64
Rucervus_duvauceli,28,40,14,0.740740741,68
Rupricapra_rupicapra,29,54,2,0.964285714,58
Saguinus_mystax,23,14,30,0.318181818,74
Saguinus_nigricollis,23,14,30,0.318181818,74
Saguinus_oedipus,23,14,30,0.318181818,74
Saimiri_boliviensis,22,12,30,0.285714286,72
Saimiri_sciureus,22,12,30,0.285714286,72
Saquinus_fusicollis,23,14,30,0.318181818,74
Saquinus_labiatus,23,14,30,0.318181818,74
Sarcophilus_harrisi,7,0,12,0,24
Scalopus_aquaticus,17,0,32,0,64
Scapanus_latimarus,17,4,28,0.125,60
Scapteromys_timidus,18,28,6,0.823529412,40
Scapteromys_timidus_(2),17,24,8,0.75,40
Scapteromys_timidus_(3),12,4,18,0.181818182,40
Sciurus_aberti,20,0,38,0,76
Sciurus_anomalus,20,0,38,0,76
Sciurus_carolinensis,20,0,38,0,76
Sciurus_granatensis,21,2,38,0.05,78
Sciurus_griseus,20,0,38,0,76
Sciurus_niger_rufiventer,20,0,38,0,76
Scotinomys_xerampelinus,29,24,32,0.428571429,88
Scotonycteris_ophiodon,17,6,26,0.1875,58
Scotophilus_dinganii,18,18,16,0.529411765,50
Scotophilus_nux,18,18,16,0.529411765,50
Scotophilus_viridis,18,18,16,0.529411765,50
Setifer_setosus,20,26,12,0.684210526,50
Sigmodon_arizonae,11,2,18,0.1,38
Sigmodon_hispidus,26,48,2,0.96,52
Sigmodon_mascotensis,14,24,2,0.923076923,28
Sigmodon_minimus,15,22,6,0.785714286,34
Sloth_bear,37,68,4,0.944444444,76
Smithopis_crassicaudata,7,0,12,0,24
Sorex_araneus,11,4,16,0.2,36
Sorex_articus,14,18,8,0.692307692,34
Sorex_asper,16,8,22,0.266666667,52
Sorex_bendirii,27,34,18,0.653846154,70
Sorex_buchariensis,20,20,18,0.526315789,56
Sorex_caecutiens,21,20,20,0.5,60
Sorex_caucasicus,11,0,20,0,40
Sorex_cinereus,33,58,6,0.90625,70
Sorex_coronatus,11,2,18,0.1,38
Sorex_daphaenodon,12,2,20,0.090909091,42
Sorex_fumeus,33,34,30,0.53125,94
Sorex_granarius,16,26,4,0.866666667,34
Sorex_isodon,21,20,20,0.5,60
Sorex_minutissimus,21,8,32,0.2,72
Sorex_minutus,21,26,14,0.65,54
Sorex_mirabilis,19,12,24,0.333333333,60
Sorex_ornatus,27,32,20,0.615384615,72
Sorex_raddei,18,2,32,0.058823529,66
Sorex_samniticus,26,50,0,1,50
Sorex_shinto,21,22,18,0.55,58
Sorex_sinuosus,27,32,20,0.615384615,72
Sorex_trowbridgii,17,24,8,0.75,40
Sorex_tundrensis,15,6,22,0.214285714,50
Sorex_ungiculatus,21,22,18,0.55,58
Sorex_vagrans,27,46,6,0.884615385,58
Sorex_vir,21,16,24,0.4,64
Sorex_volnuchi,20,20,18,0.526315789,56
Spalacopus_cyanus,29,0,56,0,112
Spalax_ehrenbergi,30,44,14,0.75862069,72
Speothos_venaticus,37,72,0,1,72
Spermophilus_beldingi,15,0,28,0,56
Spermophilus_leptodactylus,19,2,34,0.055555556,70
Spermophilus_mexicanus_pavidens,17,0,32,0,64
Spermophilus_richardsonii,17,0,32,0,64
Spermophilus_tereticadus,18,0,34,0,68
Spermophilus_townsendi_canus,23,20,24,0.454545455,68
Spermophilus_townsendi_idahoensis,19,6,30,0.166666667,66
Spermophilus_townsendi_townsendi,18,0,34,0,68
Spermophilus_tridecemlineatus,17,0,32,0,64
Stenella_attenuatta,22,8,34,0.19047619,76
Stenella_clymene,22,8,34,0.19047619,76
Stenella_dubia,22,8,34,0.19047619,76
Stenella_longirostris,22,8,34,0.19047619,76
Sturnina_erythromos,15,0,28,0,56
Sturnina_lilium,15,0,28,0,56
Sturnina_magna,15,0,28,0,56
Sturnina_nana,15,0,28,0,56
Helarctos_malayanus,37,68,4,0.944444444,76
Suncus_etruscus,21,12,28,0.3,68
Suncus_murinus,20,24,14,0.631578947,52
Sus_celebensis,19,12,24,0.333333333,60
Sus_salvanius,19,12,24,0.333333333,60
Sus_scroffa,18,8,26,0.235294118,60
Sus_verrucosus,19,12,24,0.333333333,60
Sylvicapra_grimmia,30,58,0,1,58
Sylvilagus_aquaticus,19,8,28,0.222222222,64
Sylvilagus_bachmani,24,14,32,0.304347826,78
Sylvilagus_floridanus,21,6,34,0.15,74
Sylvilagus_idahoensis,22,8,34,0.19047619,76
Sylvilagus_palustris,19,8,28,0.222222222,64
Sylvilagus_transitionalis,26,6,44,0.12,94
Sylvisorex_megalura,24,0,46,0,92
Symphalangus_syndactilus,25,2,46,0.041666667,94
Syncerus_caffer,26,42,8,0.84,58
Tachyglossus_aculeatus,32,0,62,0,124
Tadarida_aurispinosa,24,34,12,0.739130435,58
Tadarida_brasiliensis,24,36,10,0.782608696,56
Tadarida_formosrosassa,24,34,12,0.739130435,58
Tadarida_kalinowskii,24,36,10,0.782608696,56
Tadarida_laticaudata,24,34,12,0.739130435,58
Tadarida_macrotis,24,34,12,0.739130435,58
Talpa_altaica,17,0,32,0,64
Talpa_caeca,18,4,30,0.117647059,64
Talpa_caucasica,19,10,26,0.277777778,62
Talpa_europaea,17,0,32,0,64
Talpa_levantis,17,2,30,0.0625,62
Talpa_minima,17,2,30,0.0625,62
Talpa_occidentalis,17,0,32,0,64
Talpa_romana,17,2,30,0.0625,62
Tamandua_tetradactyla,27,0,52,0,104
Tamias_striatus,19,14,22,0.388888889,58
Tandua_longicauda,27,0,52,0,104
Tarsius_bancanus,40,66,12,0.846153846,90
Tarsius_dianae,23,10,34,0.227272727,78
Tarsius_syrichta,40,66,12,0.846153846,90
Tatera_brantsii,17,22,10,0.6875,42
Tatera_indica,34,52,14,0.787878788,80
Tatera_robusta,18,0,34,0,68
Taterillus_arenarius,15,20,8,0.714285714,36
Taterillus_concigus,27,40,12,0.769230769,64
Taterillus_gracilis,18,26,8,0.764705882,42
Taterillus_harringtoni,22,22,20,0.523809524,62
Taterillus_lacustris,14,8,18,0.307692308,44
Taterillus_petteri,9,4,12,0.25,28
Taterillus_pygargus,11,0,20,0,40
Taurotragus_euryceros,17,8,24,0.25,56
Taurotragus_oryx,16,4,26,0.133333333,56
Taxidea_taxus,16,12,18,0.4,48
Tayassu_albirostris,13,0,24,0,48
Tayassu_tajacu,15,8,20,0.285714286,48
Tetraceros_quatricornis,19,36,0,1,36
Thomasomys_aureus,22,42,0,1,42
Thomasomys_kalinowski,22,40,2,0.952380952,44
Thomasomys_monochromos,21,38,2,0.95,42
Thomasomys_notatus,22,40,2,0.952380952,44
Thomasomys_taczanowski,22,40,2,0.952380952,44
Thomomys_monticola,20,12,26,0.315789474,64
Thomomys_talpoides,24,8,38,0.173913043,84
Thomomys_umbrius,39,56,20,0.736842105,96
Thyalocomis_lagotis,7,0,12,0,24
Thylogale_billarderii,11,14,6,0.7,26
Thylogale_stigmata,11,14,6,0.7,26
Thylogale_thetis,11,14,6,0.7,26
Tolypeutes_matacus,19,0,36,0,72
Tonatia_bidens,8,8,6,0.571428571,20
Tonatia_brasiliensis,15,0,28,0,56
Tonatia_carrikeri,13,2,22,0.083333333,46
Tonatia_minuta,15,0,28,0,56
Tonatia_sylvicola,17,4,28,0.125,60
Tragelaphus_angasi,28,52,2,0.962962963,56
Tragelaphus_imberbis,19,16,20,0.444444444,56
Tragelaphus_scriptus,17,8,24,0.25,56
Tragelaphus_spekei,15,2,26,0.071428571,54
Tragelaphus_strepticeros,16,4,26,0.133333333,56
Tremarctos_ornatus,26,18,32,0.36,82
Trichomys_aperoides,15,2,26,0.071428571,54
Tupaia_berligeri,31,48,12,0.8,72
Tupaia_chinenesis,31,48,12,0.8,72
Tupaia_glis,30,46,12,0.793103448,70
Tupaia_longipes,30,46,12,0.793103448,70
Tupaia_montana,34,62,4,0.939393939,70
Tupaia_palawanensis,26,32,18,0.64,68
Tursiops_gilli,22,8,34,0.19047619,76
Tursiops_truncatus,22,8,34,0.19047619,76
Tylomys_nudicaudus,21,20,20,0.5,60
Tylomys_nudicaudus_villae,18,8,26,0.235294118,60
Tylomys_panamensis,26,44,6,0.88,56
Tylonicteris_pachypus,23,34,10,0.772727273,54
Tylonicteris_robustula,16,10,20,0.333333333,50
Tympanoctomys_barrerae,51,2,98,0.02,198
Uranomis_ruddi,29,48,8,0.857142857,64
Urocyon_cinereoargenteus,33,62,2,0.96875,66
Uroderma_bilobatum,22,36,6,0.857142857,48
Urogale_everitti,22,8,34,0.19047619,76
Uromys_caudimaculatus,23,38,6,0.863636364,50
Vampyressa_bidens,13,0,24,0,48
Vampyressa_brocki,12,0,22,0,44
Vampyressa_melissa,7,0,12,0,24
Vampyressa_nymphaea,13,0,24,0,48
Vampyressa_pusilla,11,20,0,1,20
Vampyrops_enfuscus,15,0,28,0,56
Vampyrops_nigellus,15,0,28,0,56
Vandeleuria_o._oleracea,15,16,12,0.571428571,40
Varecia_variegata,23,26,18,0.590909091,62
Vespertilio_murinus,19,22,14,0.611111111,50
Vespertilio_orientalis,19,22,14,0.611111111,50
Vespertilio_superans,19,22,14,0.611111111,50
Vicugna_vicugna,37,62,10,0.861111111,82
Viverricula_indica,18,4,30,0.117647059,64
Vombatus_ursinus,7,0,12,0,24
Vulpes_macrotis,25,0,48,0,96
Vulpes_vulpes,18,2,32,0.058823529,66
Xeromys_myoides,24,42,4,0.913043478,50
Xerus_rutilus,19,2,34,0.055555556,70
Zaedyus_pichiy,31,32,28,0.533333333,88
Zaglosus_bruijni,32,0,62,0,124
Zapholus_californianus,18,2,32,0.058823529,66
Zygodontomys_sp,17,32,0,1,32
Zyzomys_argurus,22,38,4,0.904761905,46
Zyzomys_woodwardi,22,38,4,0.904761905,46
