Family,Species,Sex,Known or assumed karyotype?,Citation,Comments
Soricidae,Crocidura crossei,XY,Known,Blackmon et al. (2019),NA
Soricidae,Crocidura cyanea,XY,Assumed,NA,NA
Soricidae,Crocidura denti,XY,Assumed,NA,NA
Soricidae,Crocidura desperata,XY,Assumed,NA,NA
Soricidae,Crocidura dhofarensis,XY,Assumed,NA,NA
Soricidae,Crocidura dolichura,XY,Assumed,NA,NA
Soricidae,Crocidura douceti,XY,Assumed,NA,NA
Soricidae,Crocidura dsinezumi,XY,Assumed,NA,NA
Soricidae,Crocidura eisentrauti,XY,Assumed,NA,NA
Soricidae,Crocidura elgonius,XY,Assumed,NA,NA
Soricidae,Crocidura elongata,XY,Assumed,NA,NA
Soricidae,Crocidura erica,XY,Assumed,NA,NA
Soricidae,Crocidura fingui,XY,Assumed,NA,NA
Soricidae,Crocidura fischeri,XY,Assumed,NA,NA
Soricidae,Crocidura flavescens,XY,Assumed,NA,NA
Soricidae,Crocidura floweri,XY,Assumed,NA,NA
Soricidae,Crocidura foetida,XY,Assumed,NA,NA
Soricidae,Crocidura foxi,XY,Assumed,NA,NA
Soricidae,Crocidura fuliginosa,XY,Assumed,NA,NA
Soricidae,Crocidura fulvastra,XY,Assumed,NA,NA
Soricidae,Crocidura fumosa,XY,Assumed,NA,NA
Soricidae,Crocidura fuscomurina,XY,Assumed,NA,NA
Soricidae,Crocidura glassi,XY,Assumed,NA,NA
Soricidae,Crocidura gmelini,XY,Assumed,NA,NA
Soricidae,Crocidura goliath,XY,Assumed,NA,NA
Soricidae,Crocidura gracilipes,XY,Known,Blackmon et al. (2019),NA
Soricidae,Crocidura grandiceps,XY,Assumed,NA,NA
Soricidae,Crocidura grandis,XY,Assumed,NA,NA
Soricidae,Crocidura grassei,XY,Assumed,NA,NA
Soricidae,Crocidura grayi,XY,Assumed,NA,NA
Soricidae,Crocidura greenwoodi,XY,Assumed,NA,NA
Soricidae,Crocidura guy,XY,Assumed,NA,NA
Soricidae,Crocidura harenna,XY,Assumed,NA,NA
Soricidae,Crocidura hikmiya,XY,Assumed,NA,NA
Soricidae,Crocidura hildegardeae,XY,Assumed,NA,NA
Soricidae,Crocidura hilliana,XY,Assumed,NA,NA
Soricidae,Crocidura hirta,XY,Assumed,NA,NA
Soricidae,Crocidura hispida,XY,Assumed,NA,NA
Soricidae,Crocidura horsfieldii,XY,Assumed,NA,NA
Soricidae,Crocidura hutanis,XY,Assumed,NA,NA
Soricidae,Crocidura indochinensis,XY,Assumed,NA,NA
Soricidae,Crocidura jacksoni,XY,Assumed,NA,NA
Soricidae,Crocidura jenkinsi,XY,Assumed,NA,NA
Soricidae,Crocidura jouvenetae,XY,Assumed,NA,NA
Soricidae,Crocidura katinka,XY,Assumed,NA,NA
Soricidae,Crocidura kivuana,XY,Assumed,NA,NA
Soricidae,Crocidura lamottei,XY,Known,Blackmon et al. (2019),NA
Soricidae,Crocidura lanosa,XY,Assumed,NA,NA
Soricidae,Crocidura lasiura,XY,Known,Blackmon et al. (2019),NA
