"","XYorvariant","sex","Scientific.Name","Genus","Family","Suborder","Order","Class","Authority","YearOfDescription","TreeTaxon","TreeImputed","BodyLength_mm","LengthMeasure","ImputedLength","SourceBodyLength","BodyMass_g","ImputedMass","SourceBodyMass","Diu","Noc","ImputedActTime","SourceActTime","Nocturnality","Fos","Ter","Aqu","Arb","Aer","ImputedHabitat","SourceHabitat","Verticality","MajorHabitat_1","MajorHabitat_2","MajorHabitat_3","MajorHabitat_4","MajorHabitat_5","MajorHabitat_6","MajorHabitat_7","MajorHabitat_8","MajorHabitat_9","MajorHabitat_10","MajorHabitat_12","MajorHabitat_13","MajorHabitat_14","MajorHabitat_15","MajorHabitat_16","MajorHabitat_17","MajorHabitatSum","ImputedMajorHabitat","SourceMajorHabitat","EcoTer","EcoFresh","EcoMar","EcosystemSum","ImputedEcosystem","SourceEcosystem","IUCN_Binomial","AssessedStatus","SourceStatus","RangeSize","Longitude","Latitude","Insularity","AbsoluteLatitude","SourceInsularity","Afrotropic","Australasia","IndoMalay","Nearctic","Neotropic","Oceania","Palearctic","Antarctic","AnnuMeanTemp","AnnuPrecip","TempSeasonality","PrecipSeasonality","Elevation","ETA50K","HumanDensity","PropUrbanArea","PropCroplandArea","PropPastureArea","PropRangeLandArea","perc.acro","haploid","auto.hap"
"Sorex coronatus",1,"XAfusion","Sorex coronatus","Sorex","Soricidae","Eulipotyphla","Eulipotyphla","Mammalia","MILLET 1828",1828,"Mammals",0,87,"HBL",0,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",9.6,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,1,0,"Jones, Bielby, Cardillo, Fritz, O'Dell, Orme, ... and Purvis, 2009, Ecology, 90:2648-2648",0.5,0,1,0,0,0,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",0.5,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Sorex coronatus","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",112,3.35489231,47.23035064,0,47.23035064,"This work",0,0,0,0,0,0,1,0,104.8510727,873.6838875,5676.226255,17.92457903,368.1819029,93.03298435,178.6658611,0.011995576,0.174308807,0.078551378,0,0.1,11,10
"Sorex daphaenodon",1,"XAfusion","Sorex daphaenodon","Sorex","Soricidae","Eulipotyphla","Eulipotyphla","Mammalia","THOMAS 1907",1907,"Mammals",0,76,"HBL",0,"Smith, Xie, Hoffmann, Lunde, MacKinnon, Wilson, and Wozencraft, 2010. A guide to the mammals of China. Princeton University Press, Princeton, 576 p.",8.1,0,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",1,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",0.5,0,1,0,0,0,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",0.5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Sorex daphaenodon","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",858,114.4741934,55.90991697,0,55.90991697,"This work",0,0,0,0,0,0,1,0,-29.48142979,441.5225915,14670.69718,68.19312275,495.7811696,1094.429026,10.43573181,0.00045274,0.03747405,0.014985412,0.038387922,0.090909091,12,11
"Sorex fumeus",0,"XY","Sorex fumeus","Sorex","Soricidae","Eulipotyphla","Eulipotyphla","Mammalia","MILLER 1895",1895,"Mammals",0,76.2,"HBL",0,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",8.2,0,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",1,1,0,"Jones, Bielby, Cardillo, Fritz, O'Dell, Orme, ... and Purvis, 2009, Ecology, 90:2648-2648",0.5,0,1,0,0,0,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",0.5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Sorex fumeus","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",179,-76.48242567,41.24824725,0,41.24824725,"This work",0,0,0,1,0,0,0,0,81.18031841,1055.636782,9211.172895,15.58597206,306.2813589,216.959751,70.7558403,0.014230271,0.087123507,0.060008244,8.29683e-05,0.53125,33,32
"Sorex granarius",1,"XAfusion","Sorex granarius","Sorex","Soricidae","Eulipotyphla","Eulipotyphla","Mammalia","MILLER 1910",1910,"Mammals",0,67,"HBL",0,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",6.39,0,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",1,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",0.5,0,1,0,0,0,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",0.5,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,4,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Sorex granarius","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",15,-7.406643268,41.36637513,0,41.36637513,"This work",0,0,0,0,0,0,1,0,134.7895026,1076.438361,4791.849357,46.80159943,470.8006387,120.8993122,185.0707461,0.013888897,0.101190146,0.06127889,0,0.866666667,16,15
"Sorex isodon",0,"XY","Sorex isodon","Sorex","Soricidae","Eulipotyphla","Eulipotyphla","Mammalia","TUROV 1924",1924,"Mammals",0,83,"HBL",0,"Smith, Xie, Hoffmann, Lunde, MacKinnon, Wilson, and Wozencraft, 2010. A guide to the mammals of China. Princeton University Press, Princeton, 576 p.",12.23,0,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",1,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",0.5,0,1,0,0,0,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",0.5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Sorex isodon","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1199,96.61186042,56.99873353,0,56.99873353,"This work",0,0,0,0,0,0,1,0,-21.6507545,495.6940674,13678.81503,59.37732647,457.8175465,995.8416053,11.82800841,0.000657354,0.029566631,0.01162407,0.018433388,0.5,21,20
"Sorex maritimensis",1,"XAfusion","Sorex maritimensis","Sorex","Soricidae","Eulipotyphla","Eulipotyphla","Mammalia","SMITH 1939",1939,"Mammals",0,76.2,"HBL",0,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",8.2,0,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",0,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,0,1,0,0,0,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",0.5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Sorex maritimensis","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",17,-64.42261348,45.16758571,0,45.16758571,"This work",0,0,0,1,0,0,0,0,64.10120049,1274.53105,8375.748491,14.21805026,62.53608149,187.3387276,27.77303518,0.000962648,0.023498342,0.001708071,0,0.71428571,14,13
"Sorex minutissimus",0,"XY","Sorex minutissimus","Sorex","Soricidae","Eulipotyphla","Eulipotyphla","Mammalia","ZIMMERMANN 1780",1780,"Mammals",0,55,"HBL",0,"Smith, Xie, Hoffmann, Lunde, MacKinnon, Wilson, and Wozencraft, 2010. A guide to the mammals of China. Princeton University Press, Princeton, 576 p.",4,0,"Burton, 2002. Mammals of Britain and Europe. Kingfisher Publications, London, 192 p.",1,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",0.5,0,1,0,0,0,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",0.5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Sorex minutissimus","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1649,99.40486034,58.06855904,0,58.06855904,"This work",0,0,0,0,0,0,1,0,-31.13618154,449.2043711,13929.30003,58.25472179,448.9250439,1191.70553,10.70568537,0.000610261,0.036284256,0.012595614,0.034261569,0.2,21,20
"Sorex minutus",0,"XY","Sorex minutus","Sorex","Soricidae","Eulipotyphla","Eulipotyphla","Mammalia","LINNAEUS 1766",1766,"Mammals",0,64,"HBL",0,"Burton, 2002. Mammals of Britain and Europe. Kingfisher Publications, London, 192 p.",6.3,0,"Burton, 2002. Mammals of Britain and Europe. Kingfisher Publications, London, 192 p.",1,1,0,"Jones, Bielby, Cardillo, Fritz, O'Dell, Orme, ... and Purvis, 2009, Ecology, 90:2648-2648",0.5,1,1,0,0,0,0,"Burton, 2002. Mammals of Britain and Europe. Kingfisher Publications, London, 192 p.",0.25,1,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,6,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Sorex minutus","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1452,49.1796686,54.39655425,0,54.39655425,"This work",0,0,0.011707989,0,0,0,0.987603306,0,36.00017587,590.0705902,10024.90394,38.2082452,420.0399782,477.7276518,53.11745237,0.003383854,0.100947037,0.034764735,0.041663068,0.65,21,20
"Sorex mirabilis",0,"XY","Sorex mirabilis","Sorex","Soricidae","Eulipotyphla","Eulipotyphla","Mammalia","OGNEV 1937",1937,"Mammals",0,97,"HBL",0,"Smith, Xie, Hoffmann, Lunde, MacKinnon, Wilson, and Wozencraft, 2010. A guide to the mammals of China. Princeton University Press, Princeton, 576 p.",14,0,"Smith, Xie, Hoffmann, Lunde, MacKinnon, Wilson, and Wozencraft, 2010. A guide to the mammals of China. Princeton University Press, Princeton, 576 p.",1,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",0.5,0,1,0,0,0,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Sorex mirabilis","DD","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",58,131.1195777,44.21989896,0,44.21989896,"This work",0,0,0,0,0,0,1,0,36.2965414,711.1898278,12742.16592,84.52054694,431.0531472,358.8779632,70.75044022,0.002009137,0.069171087,0.042569474,0.008004553,0.333333333,19,18
"Sorex ornatus",0,"XY","Sorex ornatus","Sorex","Soricidae","Eulipotyphla","Eulipotyphla","Mammalia","MERRIAM 1895",1895,"Mammals",0,63.5,"HBL",0,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",9.7,0,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",1,0,0,"Jones, Bielby, Cardillo, Fritz, O'Dell, Orme, ... and Purvis, 2009, Ecology, 90:2648-2648",0,0,1,0,0,0,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",0.5,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,4,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Sorex ornatus","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",39,-119.2195549,35.47826708,0,35.47826708,"This work",0,0,0,0.923076923,0.076923077,0,0,0,158.761797,430.9896129,5519.716407,84.06034354,553.58971,162.9987984,208.8017938,0.043149648,0.103506305,0.030936471,0.090037896,0.615384615,27,26
