"","XYorvariant","sex","Scientific.Name","Genus","Family","Suborder","Order","Class","Authority","YearOfDescription","TreeTaxon","TreeImputed","BodyLength_mm","LengthMeasure","ImputedLength","SourceBodyLength","BodyMass_g","ImputedMass","SourceBodyMass","Diu","Noc","ImputedActTime","SourceActTime","Nocturnality","Fos","Ter","Aqu","Arb","Aer","ImputedHabitat","SourceHabitat","Verticality","MajorHabitat_1","MajorHabitat_2","MajorHabitat_3","MajorHabitat_4","MajorHabitat_5","MajorHabitat_6","MajorHabitat_7","MajorHabitat_8","MajorHabitat_9","MajorHabitat_10","MajorHabitat_12","MajorHabitat_13","MajorHabitat_14","MajorHabitat_15","MajorHabitat_16","MajorHabitat_17","MajorHabitatSum","ImputedMajorHabitat","SourceMajorHabitat","EcoTer","EcoFresh","EcoMar","EcosystemSum","ImputedEcosystem","SourceEcosystem","IUCN_Binomial","AssessedStatus","SourceStatus","RangeSize","Longitude","Latitude","Insularity","AbsoluteLatitude","SourceInsularity","Afrotropic","Australasia","IndoMalay","Nearctic","Neotropic","Oceania","Palearctic","Antarctic","AnnuMeanTemp","AnnuPrecip","TempSeasonality","PrecipSeasonality","Elevation","ETA50K","HumanDensity","PropUrbanArea","PropCroplandArea","PropPastureArea","PropRangeLandArea","perc.acro","haploid","auto.hap"
"Choeroniscus minor",0,"XY","Choeroniscus minor","Choeroniscus","Phyllostomidae","Chiroptera","Chiroptera","Mammalia","PETERS 1868",1868,"Mammals",0,61,"HBL",0,"Nogueira, Lima, Peracchi, and Simmons, 2012, Am. Mus. Novit., 2012:1-30",12,0,"Nogueira, Lima, Peracchi, and Simmons, 2012, Am. Mus. Novit., 2012:1-30",0,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,0,0,0,1,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Choeroniscus minor","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",538,-61.32248544,-2.048635378,0,2.048635378,"This work",0,0,0,0,1,0,0,0,248.1787293,2215.041048,721.4637727,51.54720805,274.835269,1648.737836,19.46015876,0.001705171,0.026624248,0.039138516,0.044476348,0,10,9
"Chrotopterus auritus",0,"XY","Chrotopterus auritus","Chrotopterus","Phyllostomidae","Chiroptera","Chiroptera","Mammalia","PETERS 1856",1856,"Mammals",0,114,"HBL",0,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",96.1,0,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",0,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,0,0,0,1,1,0,"Soria, Pacifici, Di Marco, Stephen, and Rondinini, 2021, Ecology, 102:e03344",1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Chrotopterus auritus","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1226,-57.39825718,-8.059734084,0,8.059734084,"This work",0,0,0,0,1,0,0,0,244.0321913,1895.707892,1115.507641,58.12333203,340.9471117,1073.925788,27.06588832,0.002622325,0.071702555,0.060439515,0.081682778,0,14,13
"Dermanura azteca",1,"XAfusion","Dermanura azteca","Dermanura","Phyllostomidae","Chiroptera","Chiroptera","Mammalia","(K. ANDERSEN, 1906)",1906,"Mammals",0,75,"HBL",0,"Soria, Pacifici, Di Marco, Stephen, and Rondinini, 2021, Ecology, 102:e03344",20.38,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",0,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,0,0,0,1,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Dermanura azteca","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",98,-100.7603757,19.75387238,0,19.75387238,"This work",0,0,0,0.142857143,0.857142857,0,0,0,209.782047,1368.435801,1673.955424,87.61242527,1086.93248,251.1869689,138.8521003,0.012271538,0.106271415,0.137715427,0.022160459,0,15,14
"Dermanura cinerea",1,"XAYAfusion","Dermanura cinerea","Dermanura","Phyllostomidae","Chiroptera","Chiroptera","Mammalia","GERVAIS, 1856",1856,"Mammals",0,54,"",1,"Phylogenetic Multiple Imputation",12.63,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",0,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,0,0,0,1,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Dermanura cinerea","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",428,-48.09631579,-6.482103208,0,6.482103208,"This work",0,0,0,0,1,0,0,0,251.0686052,1574.675715,1053.43524,69.87588132,353.8160792,655.7634356,32.6038723,0.003582471,0.069948377,0.075263822,0.079584561,0,15,14
"Dermanura phaeotis",1,"XAYAfusion","Dermanura phaeotis","Dermanura","Phyllostomidae","Chiroptera","Chiroptera","Mammalia","MILLER 1902",1902,"Mammals",0,57.25,"HBL",0,"Soria, Pacifici, Di Marco, Stephen, and Rondinini, 2021, Ecology, 102:e03344",11.6,0,"Faurby, Davis, Pedersen, Schowanek, Antonelli, and Svenning, 2018, Ecology, 99:2626",0,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,0,0,0,1,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Dermanura phaeotis","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",424,-74.85482483,7.393507734,0,7.393507734,"This work",0,0,0,0.016509434,0.983490566,0,0,0,238.9016873,2262.788608,772.9777497,55.30249614,454.4617864,1319.972079,46.16474606,0.003051581,0.048530694,0.094342181,0.053102781,0,15,14
"Dermanura tolteca",1,"XAfusion","Dermanura tolteca","Dermanura","Phyllostomidae","Chiroptera","Chiroptera","Mammalia","(SAUSSURE, 1860)",1860,"Mammals",0,65,"HBL",0,"Soria, Pacifici, Di Marco, Stephen, and Rondinini, 2021, Ecology, 102:e03344",15.4,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",0,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,0,0,0,1,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Dermanura tolteca","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",139,-93.4916418,17.51751398,0,17.51751398,"This work",0,0,0,0.172661871,0.827338129,0,0,0,220.4079058,1543.327388,1781.278952,84.31889711,814.6751346,270.2243645,97.23253909,0.008033394,0.127936189,0.118917491,0.01696672,0,15,14
"Dermanura watsoni",1,"XAYAfusion","Dermanura watsoni","Dermanura","Phyllostomidae","Chiroptera","Chiroptera","Mammalia","THOMAS 1901",1901,"Mammals",0,52.5,"HBL",0,"Soria, Pacifici, Di Marco, Stephen, and Rondinini, 2021, Ecology, 102:e03344",12,0,"Faurby, Davis, Pedersen, Schowanek, Antonelli, and Svenning, 2018, Ecology, 99:2626",0,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,0,0,0,1,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Dermanura watsoni","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",93,-84.49759802,11.81955793,0,11.81955793,"This work",0,0,0,0,1,0,0,0,241.6992493,2743.550137,884.0727321,51.09188844,359.0343812,476.7831787,50.77539058,0.003450605,0.086941047,0.102234042,0.000225123,0,15,14
"Diaemus youngii",0,"XY","Diaemus youngii","Diaemus","Phyllostomidae","Chiroptera","Chiroptera","Mammalia","JENTINK 1893",1893,"Mammals",0,115,"HBL",0,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",45,0,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",0,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,0,1,0,0,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",0.75,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3,0,"IUCN 2023. The IUCN Red List of Threatened Species. Version 2022-2",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Diaemus youngii","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1209,-58.39789013,-7.397055667,0,7.397055667,"This work",0,0,0,0.003308519,0.996691481,0,0,0,243.529876,1894.151909,1072.180613,58.2484628,373.4538769,1092.586819,26.24176955,0.002485841,0.068961624,0.06263121,0.079164807,0,16,15
"Ectophylla alba",0,"XY","Ectophylla alba","Ectophylla","Phyllostomidae","Chiroptera","Chiroptera","Mammalia","H. ALLEN 1892",1892,"Mammals",0,47,"HBL",0,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",5.8,0,"Faurby and Svenning, 2016, Am. Nat., 187:812-20",0,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,0,0,0,1,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Ectophylla alba","NT","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",23,-84.4418914,13.31384556,0,13.31384556,"This work",0,0,0,0,1,0,0,0,249.590281,2695.013924,693.2207308,53.8736552,204.6802382,582.4816664,26.20445757,0.002166177,0.072604046,0.111595516,0.000185091,0,15,14
"Erophylla bombifrons",0,"XY","Erophylla bombifrons","Erophylla","Phyllostomidae","Chiroptera","Chiroptera","Mammalia","MILLER 1899",1899,"Mammals",0,84,"",1,"Phylogenetic Multiple Imputation",35,0,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",0,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,0,0,0,1,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Erophylla bombifrons","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",19,-71.26235614,18.90842251,1,18.90842251,"Marino, Leclerc, and Bellard, 2021, Glob. Chang. Biol., 28:1077-1090",0,0,0,0,1,0,0,0,243.88272,1383.999678,1251.459877,41.09054386,260.8558802,144.8287833,318.0007582,0.016115075,0.144661008,0.101994615,3.99745e-06,0,16,15
"Erophylla sezekorni",0,"XY","Erophylla sezekorni","Erophylla","Phyllostomidae","Chiroptera","Chiroptera","Mammalia","GUNDLACH 1861",1861,"Mammals",0,84,"",1,"Phylogenetic Multiple Imputation",35,0,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",0,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,0,0,0,1,1,0,"Soria, Pacifici, Di Marco, Stephen, and Rondinini, 2021, Ecology, 102:e03344",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Erophylla sezekorni","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",40,-78.91392824,21.60109753,1,21.60109753,"Marino, Leclerc, and Bellard, 2021, Glob. Chang. Biol., 28:1077-1090",0,0,0,0,1,0,0,0,251.8616818,1349.13376,1659.133651,56.02251671,55.28571357,129.7322678,123.6236299,0.003488765,0.137680589,0.112468311,0.001764201,0,16,15
"Glossophaga soricina",0,"XY","Glossophaga soricina","Glossophaga","Phyllostomidae","Chiroptera","Chiroptera","Mammalia","PALLAS 1766",1766,"Mammals",0,59,"HBL",0,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",25,0,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",0,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,0,0,0,1,1,0,"Soria, Pacifici, Di Marco, Stephen, and Rondinini, 2021, Ecology, 102:e03344",1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,4,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Glossophaga soricina","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1405,-62.5687674,-5.032557464,0,5.032557464,"This work",0,0,0,0.025622776,0.974377224,0,0,0,236.8571624,1836.234316,1138.337061,60.52592076,488.1398123,1002.034983,34.27820224,0.003032784,0.072946134,0.07039532,0.075946026,0,16,15
"Glyphonycteris daviesi",0,"XY","Glyphonycteris daviesi","Glyphonycteris","Phyllostomidae","Chiroptera","Chiroptera","Mammalia","HILL 1964",1964,"Mammals",0,88,"HBL",0,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",18.61,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",0,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,0,0,0,1,1,0,"Soria, Pacifici, Di Marco, Stephen, and Rondinini, 2021, Ecology, 102:e03344",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Glyphonycteris daviesi","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",477,-64.00422652,-1.86344123,0,1.86344123,"This work",0,0,0,0,1,0,0,0,249.7143065,2458.770784,566.8374414,46.45735986,210.0273623,2109.477599,4.060214345,0.000423262,0.007673804,0.008833985,0.02716408,0,14,13
"Lampronycteris brachyotis",0,"XY","Lampronycteris brachyotis","Lampronycteris","Phyllostomidae","Chiroptera","Chiroptera","Mammalia","DOBSON 1879",1879,"Mammals",0,62,"HBL",0,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",11,0,"Faurby and Svenning, 2016, Am. Nat., 187:812-20",0,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,0,0,0,1,1,0,"Soria, Pacifici, Di Marco, Stephen, and Rondinini, 2021, Ecology, 102:e03344",1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Lampronycteris brachyotis","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",406,-59.91938564,1.128134483,0,1.128134483,"This work",0,0,0,0,1,0,0,0,252.2919477,2251.936323,709.6125486,53.72463802,197.9285439,1723.996985,16.19805195,0.001444789,0.024003151,0.025399612,0.037507193,0,16,15
"Lionycteris spurrelli",0,"XY","Lionycteris spurrelli","Lionycteris","Phyllostomidae","Chiroptera","Chiroptera","Mammalia","THOMAS 1913",1913,"Mammals",0,60,"HBL",0,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",8.85,0,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",0,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,0,0,0,1,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,4,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Lionycteris spurrelli","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",663,-64.47480926,-1.597473855,0,1.597473855,"This work",0,0,0,0,1,0,0,0,243.8583751,2300.168633,592.15433,49.82572922,359.5578097,1692.517047,15.75978445,0.001079991,0.02134697,0.044410614,0.032348655,0.071428571,14,13
"Lonchophylla robusta",0,"XY","Lonchophylla robusta","Lonchophylla","Phyllostomidae","Chiroptera","Chiroptera","Mammalia","MILLER 1912",1912,"Mammals",0,78,"HBL",0,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",17.2,0,"Faurby and Svenning, 2016, Am. Nat., 187:812-20",0,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,0,0,0,1,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Lonchophylla robusta","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",144,-75.71436932,5.149733927,0,5.149733927,"This work",0,0,0,0,1,0,0,0,224.0651474,2425.099085,457.1893155,46.03446601,781.54888,495.3483793,77.5307802,0.004704547,0.056741384,0.194139341,0.030603365,0.071428571,14,13
"Lonchophylla thomasi",0,"XY","Lonchophylla thomasi","Lonchophylla","Phyllostomidae","Chiroptera","Chiroptera","Mammalia","J.A. ALLEN, 1904",1904,"Mammals",1,57,"HBL",0,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",14,0,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",0,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,0,0,0,1,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Lonchophylla thomasi","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",755,-64.4546205,-3.003724076,0,3.003724076,"This work",0,0,0,0,1,0,0,0,241.4554885,2243.473021,655.7750615,51.49098993,406.7010438,1573.826022,15.58985391,0.00110178,0.028083941,0.043937117,0.035397509,0.733333333,16,15
"Lonchorhina aurita",0,"XY","Lonchorhina aurita","Lonchorhina","Phyllostomidae","Chiroptera","Chiroptera","Mammalia","TOMES 1863",1863,"Mammals",0,74,"HBL",0,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",16,0,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",0,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,0,0,0,1,1,0,"Soria, Pacifici, Di Marco, Stephen, and Rondinini, 2021, Ecology, 102:e03344",1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Lonchorhina aurita","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1083,-58.42497572,-5.317195132,0,5.317195132,"This work",0,0,0,0,1,0,0,0,246.2564427,1978.887981,851.5003603,59.14406851,354.6733756,1167.423872,28.72450718,0.002693486,0.062933933,0.06068193,0.074225304,0,16,15
"Lophostoma brasiliense",0,"XY","Lophostoma brasiliense","Lophostoma","Phyllostomidae","Chiroptera","Chiroptera","Mammalia","PETERS 1866",1866,"Mammals",0,61,"HBL",0,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",9.76,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",0,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,0,0,0,1,1,0,"Soria, Pacifici, Di Marco, Stephen, and Rondinini, 2021, Ecology, 102:e03344",1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Lophostoma brasiliense","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",797,-63.1030343,-2.061316364,0,2.061316364,"This work",0,0,0,0,1,0,0,0,246.096284,2132.499489,717.2887091,54.14623235,343.4937527,1493.934631,18.93017473,0.001651433,0.028771126,0.042833364,0.036186799,0,15,14
"Lophostoma schulzi",0,"XY","Lophostoma schulzi","Lophostoma","Phyllostomidae","Chiroptera","Chiroptera","Mammalia","GENOWAYS & WILLIAMS 1980",1980,"Mammals",0,73,"",1,"Phylogenetic Multiple Imputation",18.2,0,"Faurby and Svenning, 2016, Am. Nat., 187:812-20",0,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,0,0,0,1,1,0,"Soria, Pacifici, Di Marco, Stephen, and Rondinini, 2021, Ecology, 102:e03344",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Lophostoma schulzi","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",65,-55.59263111,2.710444069,0,2.710444069,"This work",0,0,0,0,1,0,0,0,253.3201221,2281.906616,788.4327101,51.46140418,198.4927388,2111.008417,2.900906023,0.000248682,0.003730783,0.000964437,0.003342466,0.64285714,14,13
"Lophostoma silvicola",0,"XY","Lophostoma silvicola","Lophostoma","Phyllostomidae","Chiroptera","Chiroptera","Mammalia","D'ORBIGNY 1836",1836,"Mammals",0,89,"HBL",0,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",32.29,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",0,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,0,0,0,1,1,0,"Soria, Pacifici, Di Marco, Stephen, and Rondinini, 2021, Ecology, 102:e03344",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Lophostoma silvicolum","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",760,-62.94471362,-3.003642507,0,3.003642507,"This work",0,0,0,0,1,0,0,0,248.5061049,2204.402631,740.6050716,51.67193028,276.825405,1525.688656,17.91538685,0.001447814,0.027431474,0.043808479,0.032400219,0.11764706,17,16
"Macrotus californicus",0,"XY","Macrotus californicus","Macrotus","Phyllostomidae","Chiroptera","Chiroptera","Mammalia","BAIRD 1858",1858,"Mammals",0,67,"HBL",0,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",22,0,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",0,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,0,0,0,1,1,0,"Soria, Pacifici, Di Marco, Stephen, and Rondinini, 2021, Ecology, 102:e03344",1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,4,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Macrotus californicus","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",92,-112.0962546,30.63828212,0,30.63828212,"This work",0,0,0,0.902173913,0.097826087,0,0,0,204.7051829,330.7871627,6142.70531,77.09671682,687.6484591,298.0695759,26.4225724,0.004497298,0.056323319,0.00417722,0.232419787,0.421052632,20,19
