"","XYorvariant","sex","Scientific.Name","Genus","Family","Suborder","Order","Class","Authority","YearOfDescription","TreeTaxon","TreeImputed","BodyLength_mm","LengthMeasure","ImputedLength","SourceBodyLength","BodyMass_g","ImputedMass","SourceBodyMass","Diu","Noc","ImputedActTime","SourceActTime","Nocturnality","Fos","Ter","Aqu","Arb","Aer","ImputedHabitat","SourceHabitat","Verticality","MajorHabitat_1","MajorHabitat_2","MajorHabitat_3","MajorHabitat_4","MajorHabitat_5","MajorHabitat_6","MajorHabitat_7","MajorHabitat_8","MajorHabitat_9","MajorHabitat_10","MajorHabitat_12","MajorHabitat_13","MajorHabitat_14","MajorHabitat_15","MajorHabitat_16","MajorHabitat_17","MajorHabitatSum","ImputedMajorHabitat","SourceMajorHabitat","EcoTer","EcoFresh","EcoMar","EcosystemSum","ImputedEcosystem","SourceEcosystem","IUCN_Binomial","AssessedStatus","SourceStatus","RangeSize","Longitude","Latitude","Insularity","AbsoluteLatitude","SourceInsularity","Afrotropic","Australasia","IndoMalay","Nearctic","Neotropic","Oceania","Palearctic","Antarctic","AnnuMeanTemp","AnnuPrecip","TempSeasonality","PrecipSeasonality","Elevation","ETA50K","HumanDensity","PropUrbanArea","PropCroplandArea","PropPastureArea","PropRangeLandArea","perc.acro"
"Dermanura incomitatus",0,"XY","Dermanura incomitatus","Dermanura","Phyllostomidae","Chiroptera","Chiroptera","Mammalia","KALKO AND HANDLEY, 1994",1994,"Mammals",0,57.25,"",1,"Phylogenetic Multiple Imputation",13.5,0,"Faurby and Svenning, 2016, Am. Nat., 187:812-20",0,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,0,0,0,1,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"Taxonomic Imputation",1,0,0,1,1,"Taxonomic Imputation","","","",1,-81.55820083,9.097543907,0,9.097543907,"This work",0,0,0,0,1,0,0,0,252.0731486,2653.716493,412.9118582,37.08314403,21.49214876,597.8799598,16.96361349,0.000194405,0.000560708,0.003228611,0,NA
"Dermanura phaeotis",1,"XAYAfusion","Dermanura phaeotis","Dermanura","Phyllostomidae","Chiroptera","Chiroptera","Mammalia","MILLER 1902",1902,"Mammals",0,57.25,"HBL",0,"Soria, Pacifici, Di Marco, Stephen, and Rondinini, 2021, Ecology, 102:e03344",11.6,0,"Faurby, Davis, Pedersen, Schowanek, Antonelli, and Svenning, 2018, Ecology, 99:2626",0,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,0,0,0,1,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Dermanura phaeotis","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",424,-74.85482483,7.393507734,0,7.393507734,"This work",0,0,0,0.016509434,0.983490566,0,0,0,238.9016873,2262.788608,772.9777497,55.30249614,454.4617864,1319.972079,46.16474606,0.003051581,0.048530694,0.094342181,0.053102781,0
"Dermanura rava",0,"XY","Dermanura rava","Dermanura","Phyllostomidae","Chiroptera","Chiroptera","Mammalia","MILLER 1902",1902,"Mammals",0,57.25,"HBL",0,"Soria, Pacifici, Di Marco, Stephen, and Rondinini, 2021, Ecology, 102:e03344",14,1,"Phylogenetic Multiple Imputation",0,1,0,"Soria, Pacifici, Di Marco, Stephen, and Rondinini, 2021, Ecology, 102:e03344",1,0,0,0,1,1,0,"Soria, Pacifici, Di Marco, Stephen, and Rondinini, 2021, Ecology, 102:e03344",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Dermanura rava","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",12,-79.21797809,0.710548109,0,0.710548109,"This work",0,0,0,0,1,0,0,0,224.0017924,1671.262731,535.9995014,76.81052953,513.6477513,320.3225171,118.6783603,0.010689786,0.117695578,0.154351339,0.000811935,NA
"Dermanura rosenbergi",0,"XY","Dermanura rosenbergi","Dermanura","Phyllostomidae","Chiroptera","Chiroptera","Mammalia","THOMAS 1897",1897,"Mammals",0,47,"HBL",0,"Soria, Pacifici, Di Marco, Stephen, and Rondinini, 2021, Ecology, 102:e03344",10.2,0,"Faurby and Svenning, 2016, Am. Nat., 187:812-20",0,1,0,"Soria, Pacifici, Di Marco, Stephen, and Rondinini, 2021, Ecology, 102:e03344",1,0,0,0,1,1,0,"Soria, Pacifici, Di Marco, Stephen, and Rondinini, 2021, Ecology, 102:e03344",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Dermanura rosenbergi","DD","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",23,-78.01660977,2.788535561,0,2.788535561,"This work",0,0,0,0,1,0,0,0,230.4719814,3912.708742,314.6629338,39.41577551,536.5838643,563.6079251,53.70534446,0.003339812,0.055094618,0.090087114,0.000718673,NA
"Dermanura tolteca",1,"XAfusion","Dermanura tolteca","Dermanura","Phyllostomidae","Chiroptera","Chiroptera","Mammalia","(SAUSSURE, 1860)",1860,"Mammals",0,65,"HBL",0,"Soria, Pacifici, Di Marco, Stephen, and Rondinini, 2021, Ecology, 102:e03344",15.4,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",0,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,0,0,0,1,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Dermanura tolteca","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",139,-93.4916418,17.51751398,0,17.51751398,"This work",0,0,0,0.172661871,0.827338129,0,0,0,220.4079058,1543.327388,1781.278952,84.31889711,814.6751346,270.2243645,97.23253909,0.008033394,0.127936189,0.118917491,0.01696672,1
"Dermanura watsoni",1,"XAYAfusion","Dermanura watsoni","Dermanura","Phyllostomidae","Chiroptera","Chiroptera","Mammalia","THOMAS 1901",1901,"Mammals",0,52.5,"HBL",0,"Soria, Pacifici, Di Marco, Stephen, and Rondinini, 2021, Ecology, 102:e03344",12,0,"Faurby, Davis, Pedersen, Schowanek, Antonelli, and Svenning, 2018, Ecology, 99:2626",0,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,0,0,0,1,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Dermanura watsoni","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",93,-84.49759802,11.81955793,0,11.81955793,"This work",0,0,0,0,1,0,0,0,241.6992493,2743.550137,884.0727321,51.09188844,359.0343812,476.7831787,50.77539058,0.003450605,0.086941047,0.102234042,0.000225123,0
"Desmodus draculae",0,"XY","Desmodus draculae","Desmodus","Phyllostomidae","Chiroptera","Chiroptera","Mammalia","LEIDY, 1854",1854,"Mammals",0,103,"",1,"Phylogenetic Multiple Imputation",71.2,0,"Faurby and Svenning, 2016, Am. Nat., 187:812-20",0.0067,0.9977,1,"Phylogenetic Multiple Imputation",1,0,0,0,0,1,1,"Taxonomic Imputation",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,"Czaplewski, Krejca, and Miller, 2003, Caribb. J. Sci., 39:23-33; Pardiñas and Tonni, 2000, Palaeogeogr. Palaeoclimatol. Palaeoecol., 160:213-221",1,0,0,1,0,"Brizuela, and Tassara, 2021, Ameghiniana, 58:169-176","","EX","IUCN 2020. The IUCN red list of threatened species. Version 2019-3",1531,-58.68674424,-9.995277401,0,9.995277401,"This work",0,0,0,0.0365774,0.961463096,0,0,0,233.985222,1743.50357,1527.178322,58.99939868,449.0849733,935.1400557,32.63065109,0.002958398,0.079559585,0.064774256,0.090411065,NA
"Desmodus rotundus",0,"XY","Desmodus rotundus","Desmodus","Phyllostomidae","Chiroptera","Chiroptera","Mammalia","É. GEOFFROY SAINT-HILAIRE 1810",1810,"Mammals",0,93,"HBL",0,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",33.2,0,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",0,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,0,1,0,0,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",0.75,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,3,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Desmodus rotundus","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1619,-63.46911194,-7.443412156,0,7.443412156,"This work",0,0,0,0.034589253,0.965410747,0,0,0,224.8728844,1648.951832,1568.458847,63.36788953,621.6495128,902.872111,32.33352407,0.002866528,0.073158293,0.065854222,0.097677322,NA
"Diaemus youngii",0,"XY","Diaemus youngii","Diaemus","Phyllostomidae","Chiroptera","Chiroptera","Mammalia","JENTINK 1893",1893,"Mammals",0,115,"HBL",0,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",45,0,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",0,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,0,1,0,0,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",0.75,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3,0,"IUCN 2023. The IUCN Red List of Threatened Species. Version 2022-2",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Diaemus youngii","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1209,-58.39789013,-7.397055667,0,7.397055667,"This work",0,0,0,0.003308519,0.996691481,0,0,0,243.529876,1894.151909,1072.180613,58.2484628,373.4538769,1092.586819,26.24176955,0.002485841,0.068961624,0.06263121,0.079164807,0
"Diphylla ecaudata",0,"XY","Diphylla ecaudata","Diphylla","Phyllostomidae","Chiroptera","Chiroptera","Mammalia","SPIX 1823",1823,"Mammals",0,85,"HBL",0,"Schmidly and Bradley, 2016. The Mammals of Texas. University of Texas Press, Texas, 737 p.",40,0,"Schmidly and Bradley, 2016. The Mammals of Texas. University of Texas Press, Texas, 737 p.",0,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,0,1,0,0,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",0.75,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,4,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Diphylla ecaudata","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",825,-63.84861679,-5.52246098,0,5.52246098,"This work",0,0,0,0.041212121,0.958787879,0,0,0,231.9956404,1696.992623,1227.649277,62.41379841,616.6939754,593.4836336,44.07727528,0.003953512,0.093753757,0.097189031,0.109247737,NA
"Dryadonycteris capixaba",0,"XY","Dryadonycteris capixaba","Dryadonycteris","Phyllostomidae","Chiroptera","Chiroptera","Mammalia","NOGUEIRA, LIMA, PERACCHI, & SIMMONS 2012",2012,"Mammals",1,50.1,"HBL",0,"Nogueira, Lima, Peracchi, and Simmons, 2012, Am. Mus. Novit., 2012:1-30",5,0,"Nogueira, Lima, Peracchi, and Simmons, 2012, Am. Mus. Novit., 2012:1-30",0.0029,0.9991,1,"Phylogenetic Multiple Imputation",1,0,0,0,0,1,1,"Taxonomic Imputation",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Dryadonycteris capixaba","DD","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",2,-40.07074468,-19.28488358,0,19.28488358,"This work",0,0,0,0,1,0,0,0,244.2213433,1183.4759,1642.272749,56.74422506,133.5690949,121.1983956,44.38907295,0.004442663,0.151688886,0.279492524,0,NA
"Ectophylla alba",0,"XY","Ectophylla alba","Ectophylla","Phyllostomidae","Chiroptera","Chiroptera","Mammalia","H. ALLEN 1892",1892,"Mammals",0,47,"HBL",0,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",5.8,0,"Faurby and Svenning, 2016, Am. Nat., 187:812-20",0,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,0,0,0,1,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Ectophylla alba","NT","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",23,-84.4418914,13.31384556,0,13.31384556,"This work",0,0,0,0,1,0,0,0,249.590281,2695.013924,693.2207308,53.8736552,204.6802382,582.4816664,26.20445757,0.002166177,0.072604046,0.111595516,0.000185091,0
"Enchisthenes hartii",0,"XY","Enchisthenes hartii","Enchisthenes","Phyllostomidae","Chiroptera","Chiroptera","Mammalia","THOMAS 1892",1892,"Mammals",0,69,"HBL",0,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",16.99,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",0,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,0,0,0,1,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Enchisthenes hartii","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",384,-72.57812381,0.47886921,0,0.47886921,"This work",0,0,0,0.018229167,0.981770833,0,0,0,217.1707354,1892.656286,860.2318111,60.26317736,946.0649932,717.4563929,59.41441574,0.004222657,0.065314293,0.137675608,0.050653945,NA
"Erophylla bombifrons",0,"XY","Erophylla bombifrons","Erophylla","Phyllostomidae","Chiroptera","Chiroptera","Mammalia","MILLER 1899",1899,"Mammals",0,84,"",1,"Phylogenetic Multiple Imputation",35,0,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",0,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,0,0,0,1,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Erophylla bombifrons","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",19,-71.26235614,18.90842251,1,18.90842251,"Marino, Leclerc, and Bellard, 2021, Glob. Chang. Biol., 28:1077-1090",0,0,0,0,1,0,0,0,243.88272,1383.999678,1251.459877,41.09054386,260.8558802,144.8287833,318.0007582,0.016115075,0.144661008,0.101994615,3.99745e-06,0
"Erophylla sezekorni",0,"XY","Erophylla sezekorni","Erophylla","Phyllostomidae","Chiroptera","Chiroptera","Mammalia","GUNDLACH 1861",1861,"Mammals",0,84,"",1,"Phylogenetic Multiple Imputation",35,0,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",0,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,0,0,0,1,1,0,"Soria, Pacifici, Di Marco, Stephen, and Rondinini, 2021, Ecology, 102:e03344",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Erophylla sezekorni","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",40,-78.91392824,21.60109753,1,21.60109753,"Marino, Leclerc, and Bellard, 2021, Glob. Chang. Biol., 28:1077-1090",0,0,0,0,1,0,0,0,251.8616818,1349.13376,1659.133651,56.02251671,55.28571357,129.7322678,123.6236299,0.003488765,0.137680589,0.112468311,0.001764201,0
"Glossophaga commissarisi",0,"XY","Glossophaga commissarisi","Glossophaga","Phyllostomidae","Chiroptera","Chiroptera","Mammalia","GARDNER 1962",1962,"Mammals",0,65,"HBL",0,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",9.5,0,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",0,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,0,0,0,1,1,0,"Soria, Pacifici, Di Marco, Stephen, and Rondinini, 2021, Ecology, 102:e03344",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Glossophaga commissarisi","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",423,-71.15165732,-1.826153755,0,1.826153755,"This work",0,0,0,0.01891253,0.98108747,0,0,0,231.6843396,2368.662463,706.2591179,46.55302046,566.4234842,1660.194383,31.8439384,0.002014758,0.038666201,0.072808961,0.031536529,NA
"Glossophaga leachii",0,"XY","Glossophaga leachii","Glossophaga","Phyllostomidae","Chiroptera","Chiroptera","Mammalia","GRAY 1844",1844,"Mammals",0,60,"HBL",0,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",25,0,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",0,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,0,0,0,1,1,0,"Soria, Pacifici, Di Marco, Stephen, and Rondinini, 2021, Ecology, 102:e03344",1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Glossophaga leachii","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",70,-92.43817138,15.70886872,0,15.70886872,"This work",0,0,0,0,1,0,0,0,220.8839024,1584.244131,1225.082573,83.35252889,905.3814569,231.4915607,142.5443087,0.011602657,0.145466683,0.164325156,0.002363414,NA
"Glossophaga longirostris",0,"XY","Glossophaga longirostris","Glossophaga","Phyllostomidae","Chiroptera","Chiroptera","Mammalia","MILLER 1898",1898,"Mammals",0,59,"HBL",0,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",25,0,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",0,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,0,0,0,1,1,0,"Soria, Pacifici, Di Marco, Stephen, and Rondinini, 2021, Ecology, 102:e03344",1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Glossophaga longirostris","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",175,-66.5081519,6.293306137,0,6.293306137,"This work",0,0,0,0,1,0,0,0,242.3979002,2042.84155,625.7957318,55.93594606,463.0508053,1287.100892,42.42642514,0.002680674,0.029164289,0.1004381,0.077117558,NA
"Glossophaga morenoi",0,"XY","Glossophaga morenoi","Glossophaga","Phyllostomidae","Chiroptera","Chiroptera","Mammalia","	MARTÍNEZ & VILLA RAMÍREZ 1938",1938,"Mammals",0,58,"HBL",0,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",8.54,0,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",0,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,0,0,0,1,1,0,"Soria, Pacifici, Di Marco, Stephen, and Rondinini, 2021, Ecology, 102:e03344",1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Glossophaga morenoi","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",45,-98.09599111,17.80654817,0,17.80654817,"This work",0,0,0,0,1,0,0,0,210.9187762,1253.335161,1471.957261,95.20271655,1151.0466,231.9030282,137.2381326,0.012593093,0.131768543,0.166956545,0.003156223,NA
"Glossophaga soricina",0,"XY","Glossophaga soricina","Glossophaga","Phyllostomidae","Chiroptera","Chiroptera","Mammalia","PALLAS 1766",1766,"Mammals",0,59,"HBL",0,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",25,0,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",0,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,0,0,0,1,1,0,"Soria, Pacifici, Di Marco, Stephen, and Rondinini, 2021, Ecology, 102:e03344",1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,4,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Glossophaga soricina","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1405,-62.5687674,-5.032557464,0,5.032557464,"This work",0,0,0,0.025622776,0.974377224,0,0,0,236.8571624,1836.234316,1138.337061,60.52592076,488.1398123,1002.034983,34.27820224,0.003032784,0.072946134,0.07039532,0.075946026,0
"Glyphonycteris behnii",0,"XY","Glyphonycteris behnii","Glyphonycteris","Phyllostomidae","Chiroptera","Chiroptera","Mammalia","PETERS 1865",1865,"Mammals",1,67,"",1,"Phylogenetic Multiple Imputation",14.53,0,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",0,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,0,0,0,1,1,0,"Soria, Pacifici, Di Marco, Stephen, and Rondinini, 2021, Ecology, 102:e03344",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Glyphonycteris behnii","DD","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",110,-61.89209396,-13.62928836,0,13.62928836,"This work",0,0,0,0,1,0,0,0,241.744201,1832.354571,1039.803243,66.05253523,435.3783491,728.9164756,3.515935224,0.000385205,0.067067568,0.01975319,0.124245891,NA
"Glyphonycteris daviesi",0,"XY","Glyphonycteris daviesi","Glyphonycteris","Phyllostomidae","Chiroptera","Chiroptera","Mammalia","HILL 1964",1964,"Mammals",0,88,"HBL",0,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",18.61,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",0,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,0,0,0,1,1,0,"Soria, Pacifici, Di Marco, Stephen, and Rondinini, 2021, Ecology, 102:e03344",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Glyphonycteris daviesi","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",477,-64.00422652,-1.86344123,0,1.86344123,"This work",0,0,0,0,1,0,0,0,249.7143065,2458.770784,566.8374414,46.45735986,210.0273623,2109.477599,4.060214345,0.000423262,0.007673804,0.008833985,0.02716408,NA
