"","XYorvariant","sex","Scientific.Name","Genus","Family","Suborder","Order","Class","Authority","YearOfDescription","TreeTaxon","TreeImputed","BodyLength_mm","LengthMeasure","ImputedLength","SourceBodyLength","BodyMass_g","ImputedMass","SourceBodyMass","Diu","Noc","ImputedActTime","SourceActTime","Nocturnality","Fos","Ter","Aqu","Arb","Aer","ImputedHabitat","SourceHabitat","Verticality","MajorHabitat_1","MajorHabitat_2","MajorHabitat_3","MajorHabitat_4","MajorHabitat_5","MajorHabitat_6","MajorHabitat_7","MajorHabitat_8","MajorHabitat_9","MajorHabitat_10","MajorHabitat_12","MajorHabitat_13","MajorHabitat_14","MajorHabitat_15","MajorHabitat_16","MajorHabitat_17","MajorHabitatSum","ImputedMajorHabitat","SourceMajorHabitat","EcoTer","EcoFresh","EcoMar","EcosystemSum","ImputedEcosystem","SourceEcosystem","IUCN_Binomial","AssessedStatus","SourceStatus","RangeSize","Longitude","Latitude","Insularity","AbsoluteLatitude","SourceInsularity","Afrotropic","Australasia","IndoMalay","Nearctic","Neotropic","Oceania","Palearctic","Antarctic","AnnuMeanTemp","AnnuPrecip","TempSeasonality","PrecipSeasonality","Elevation","ETA50K","HumanDensity","PropUrbanArea","PropCroplandArea","PropPastureArea","PropRangeLandArea","perc.acro"
"Artibeus amplus",0,"XY","Artibeus amplus","Artibeus","Phyllostomidae","Chiroptera","Chiroptera","Mammalia","HANDLEY 1987",1987,"Mammals",0,110,"",1,"Phylogenetic Multiple Imputation",61.04,0,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",0,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,0,0,0,1,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Artibeus amplus","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",176,-66.62634328,6.22632283,0,6.22632283,"This work",0,0,0,0,1,0,0,0,243.0401686,2135.290487,609.4787295,55.18278146,445.8765877,1448.401927,37.90591153,0.002404533,0.025648134,0.097746451,0.077566685,NA
"Artibeus concolor",0,"XY","Artibeus concolor","Artibeus","Phyllostomidae","Chiroptera","Chiroptera","Mammalia","PETERS, 1865",1865,"Mammals",0,72,"",1,"Phylogenetic Multiple Imputation",19.7,0,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",0,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,0,0,0,1,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Artibeus concolor","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",596,-58.32243866,-2.698754909,0,2.698754909,"This work",0,0,0,0,1,0,0,0,253.9858511,2163.464199,678.686302,55.20218588,202.9452041,1710.064243,11.65727934,0.001233955,0.022144105,0.024889553,0.03732479,NA
"Artibeus fimbriatus",1,"XAfusion","Artibeus fimbriatus","Artibeus","Phyllostomidae","Chiroptera","Chiroptera","Mammalia","GRAY 1838",1838,"Mammals",0,110,"",1,"Phylogenetic Multiple Imputation",63.9,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",0,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,0,0,0,1,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Artibeus fimbriatus","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",173,-48.0409646,-22.10283343,0,22.10283343,"This work",0,0,0,0,1,0,0,0,214.0519381,1448.123169,2542.114183,43.04727774,481.7832566,164.6414966,96.66061087,0.010577082,0.197665875,0.199167169,0.052718867,0
"Artibeus fraterculus",0,"XY","Artibeus fraterculus","Artibeus","Phyllostomidae","Chiroptera","Chiroptera","Mammalia","ANTHONY 1924",1924,"Mammals",0,130,"HBL",0,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",46,1,"Phylogenetic Multiple Imputation",0,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,0,0,0,1,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Artibeus fraterculus","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",47,-78.54467227,-6.833753581,0,6.833753581,"This work",0,0,0,0,1,0,0,0,170.2475577,794.6849874,660.6936562,86.56280557,1695.092669,469.142429,83.45671769,0.004430557,0.089335282,0.125201338,0.03742437,NA
"Artibeus hirsutus",0,"XY","Artibeus hirsutus","Artibeus","Phyllostomidae","Chiroptera","Chiroptera","Mammalia","K. ANDERSEN 1906",1906,"Mammals",0,70,"HBL",0,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",40.42,0,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",0,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,0,0,0,1,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Artibeus hirsutus","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",43,-105.0226029,22.14000143,0,22.14000143,"This work",0,0,0,0.325581395,0.674418605,0,0,0,218.3967218,945.9816469,2753.639953,107.7754031,754.8219057,286.0556254,48.89558927,0.003523439,0.101400853,0.069728429,0.001580475,NA
"Artibeus inopinatus",0,"XY","Artibeus inopinatus","Artibeus","Phyllostomidae","Chiroptera","Chiroptera","Mammalia","DAVIS & CARTER 1964",1964,"Mammals",0,72,"HBL",0,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",29.3,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",0,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,0,0,0,1,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Artibeus inopinatus","DD","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",12,-87.64729481,13.23319917,0,13.23319917,"This work",0,0,0,0,1,0,0,0,256.1534567,1506.57485,752.7044124,92.19812129,331.3751439,106.8886436,224.0057922,0.008712983,0.191306587,0.204850386,1.88768e-05,NA
"Artibeus jamaicensis",1,"XAfusion","Artibeus jamaicensis","Artibeus","Phyllostomidae","Chiroptera","Chiroptera","Mammalia","LEACH 1821",1821,"Mammals",0,130,"HBL",0,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",70.1,0,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",0,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,0,0,0,1,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,4,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Artibeus jamaicensis","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",258,-90.49776019,15.78545489,0,15.78545489,"This work",0,0,0,0.046511628,0.953488372,0,0,0,236.0898608,1672.069232,1348.977244,70.71866334,512.0297079,289.455116,101.8999449,0.006441345,0.115206237,0.133062036,0.005378679,0
"Artibeus lituratus",1,"XAfusion","Artibeus lituratus","Artibeus","Phyllostomidae","Chiroptera","Chiroptera","Mammalia","OLFERS 1818",1818,"Mammals",0,130,"HBL",0,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",70.1,0,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",0,1,0,"Jones, Bielby, Cardillo, Fritz, O'Dell, Orme, ... and Purvis, 2009, Ecology, 90:2648-2648",1,0,0,0,1,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Artibeus lituratus","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1334,-61.77883687,-5.132268857,0,5.132268857,"This work",0,0,0,0.013493253,0.986506747,0,0,0,240.1742924,1890.091233,1065.647971,59.18796638,435.7125823,1031.738308,32.47627591,0.002953967,0.073074861,0.070024983,0.073254302,0
"Artibeus obscurus",1,"XAfusion","Artibeus obscurus","Artibeus","Phyllostomidae","Chiroptera","Chiroptera","Mammalia","SCHINZ 1821",1821,"Mammals",0,130,"HBL",0,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",70.1,0,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",0,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,0,0,0,1,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Artibeus obscurus","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",998,-56.89439361,-7.952922352,0,7.952922352,"This work",0,0,0,0,1,0,0,0,246.2262123,1942.310163,970.5974431,58.18544291,330.3716575,1219.6683,19.81670576,0.002212506,0.065518009,0.044624263,0.078623397,0
"Artibeus planirostris",1,"XAfusion","Artibeus planirostris","Artibeus","Phyllostomidae","Chiroptera","Chiroptera","Mammalia","SPIX 1823",1823,"Mammals",0,93,"HBL",0,"Soria, Pacifici, Di Marco, Stephen, and Rondinini, 2021, Ecology, 102:e03344",47,0,"Faurby and Svenning, 2016, Am. Nat., 187:812-20",0,1,0,"Soria, Pacifici, Di Marco, Stephen, and Rondinini, 2021, Ecology, 102:e03344",1,0,0,0,1,1,0,"Soria, Pacifici, Di Marco, Stephen, and Rondinini, 2021, Ecology, 102:e03344",1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Artibeus planirostris","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",975,-56.33606517,-8.55508033,0,8.55508033,"This work",0,0,0,0,1,0,0,0,248.0996057,1831.613073,1045.351921,62.95457003,322.5603521,1104.553073,16.5657995,0.001914668,0.073003652,0.041986281,0.101499564,0
