"","XYorvariant","sex","Scientific.Name","Genus","Family","Suborder","Order","Class","Authority","YearOfDescription","TreeTaxon","TreeImputed","BodyLength_mm","LengthMeasure","ImputedLength","SourceBodyLength","BodyMass_g","ImputedMass","SourceBodyMass","Diu","Noc","ImputedActTime","SourceActTime","Nocturnality","Fos","Ter","Aqu","Arb","Aer","ImputedHabitat","SourceHabitat","Verticality","MajorHabitat_1","MajorHabitat_2","MajorHabitat_3","MajorHabitat_4","MajorHabitat_5","MajorHabitat_6","MajorHabitat_7","MajorHabitat_8","MajorHabitat_9","MajorHabitat_10","MajorHabitat_12","MajorHabitat_13","MajorHabitat_14","MajorHabitat_15","MajorHabitat_16","MajorHabitat_17","MajorHabitatSum","ImputedMajorHabitat","SourceMajorHabitat","EcoTer","EcoFresh","EcoMar","EcosystemSum","ImputedEcosystem","SourceEcosystem","IUCN_Binomial","AssessedStatus","SourceStatus","RangeSize","Longitude","Latitude","Insularity","AbsoluteLatitude","SourceInsularity","Afrotropic","Australasia","IndoMalay","Nearctic","Neotropic","Oceania","Palearctic","Antarctic","AnnuMeanTemp","AnnuPrecip","TempSeasonality","PrecipSeasonality","Elevation","ETA50K","HumanDensity","PropUrbanArea","PropCroplandArea","PropPastureArea","PropRangeLandArea","perc.acro"
"Crocidura nana",0,"XY","Crocidura nana","Crocidura","Soricidae","Eulipotyphla","Eulipotyphla","Mammalia","DOBSON 1890",1890,"Mammals",1,62,"HBL",0,"Hoath, 2009. A Field Guide to the Mammals of Egypt. The American University in Cairo Press, New York, 322 p.",7,0,"Faurby and Svenning, 2016, Am. Nat., 187:812-20",0,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,0,1,0,0,0,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",0.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Crocidura nana","DD","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",2,39.72372227,9.057704421,0,9.057704421,"This work",1,0,0,0,0,0,0,0,233.0267666,576.1937794,1259.144354,114.6116941,1148.550877,513.9950724,82.16156816,0.00012174,0.194500396,0.092799842,0.178380725,NA
"Crocidura nanilla",0,"XY","Crocidura nanilla","Crocidura","Soricidae","Eulipotyphla","Eulipotyphla","Mammalia","THOMAS 1909",1909,"Mammals",0,58,"HBL",0,"Kingdon, Happold, Butynski, Hoffmann, Happold, and Kalina, 2013. Mammals of Africa, v. 1-6. London: Bloomsbury Publishing",6.5,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",0,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,0,1,0,0,0,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Crocidura nanilla","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",94,-12.92532298,13.96225888,0,13.96225888,"This work",1,0,0,0,0,0,0,0,272.5367156,873.8421726,2258.711511,115.8808948,365.263872,324.9200915,55.91976791,0.00171835,0.116657726,0.182037425,0.195892688,NA
"Crocidura neglecta",0,"XY","Crocidura neglecta","Crocidura","Soricidae","Eulipotyphla","Eulipotyphla","Mammalia","JENTINK 1888",1888,"Mammals",0,84,"",1,"Phylogenetic Multiple Imputation",10.6,1,"Phylogenetic Multiple Imputation",0,1,1,"Taxonomic Imputation",1,0,1,0,0,0,1,"Taxonomic Imputation",0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"IUCN 2022. The IUCN Red List of Threatened Species. Version 2021-3",1,0,0,1,1,"Taxonomic Imputation","","LC","IUCN 2022. The IUCN Red List of Threatened Species. Version 2021-3",1,101.463147,-1.664277861,0,1.664277861,"This work",0,0,1,0,0,0,0,0,220.5132231,2718.440565,307.9457989,28.45874656,743.5052083,691.1565278,51.1562718,0.002255531,0.154440435,0.026006838,0,NA
"Crocidura negligens",0,"XY","Crocidura negligens","Crocidura","Soricidae","Eulipotyphla","Eulipotyphla","Mammalia","ROBINSON & KLOSS 1914",1914,"Mammals",0,95,"HBL",0,"Francis, 2019. Field Guide to the Mammals of Southeast Asia. Bloomsbury, London, 416 p.",12.5,0,"Francis, 2019. Field Guide to the Mammals of Southeast Asia. Bloomsbury, London, 416 p.",0,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,0,1,0,0,0,0,"Francis, 2019. Field Guide to the Mammals of Southeast Asia. Bloomsbury, London, 416 p.",0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Crocidura negligens","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",34,101.3899287,5.334146662,0,5.334146662,"This work",0,0,1,0,0,0,0,0,261.012284,2455.662487,620.9151077,43.5732878,159.4976378,372.3899696,196.0695604,0.014167617,0.205273807,0.006282889,0,NA
"Crocidura negrina",0,"XY","Crocidura negrina","Crocidura","Soricidae","Eulipotyphla","Eulipotyphla","Mammalia","RABOR 1952",1952,"Mammals",0,90,"",1,"Phylogenetic Multiple Imputation",13.4,0,"Faurby and Svenning, 2016, Am. Nat., 187:812-20",0,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,0,1,0,0,0,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Crocidura negrina","EN","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,123.1433537,9.283097693,1,9.283097693,"Marino, Leclerc, and Bellard, 2021, Glob. Chang. Biol., 28:1077-1090",0,0,1,0,0,0,0,0,258.8799692,1747.110028,540.5362914,47.69864068,80.14497245,238.4133519,465.9712859,0.006477582,0.102638172,0.012955403,0,NA
"Crocidura newmarki",0,"XY","Crocidura newmarki","Crocidura","Soricidae","Eulipotyphla","Eulipotyphla","Mammalia","STANLEY, HUTTERER, GIARLA, & ESSELSTYN 2015",2015,"Mammals",0,84,"",1,"Phylogenetic Multiple Imputation",11,1,"Phylogenetic Multiple Imputation",0,1,0,"Soria, Pacifici, Di Marco, Stephen, and Rondinini, 2021, Ecology, 102:e03344",1,0,1,0,0,0,0,"Soria, Pacifici, Di Marco, Stephen, and Rondinini, 2021, Ecology, 102:e03344",0.5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Crocidura newmarki","NT","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",4,36.79789668,-3.23227555,0,3.23227555,"This work",1,0,0,0,0,0,0,0,215.2243255,796.0251713,1387.261878,83.70006358,1304.442554,395.9868293,51.23052281,0.002424345,0.0925718,0.279363745,0.026625009,NA
"Crocidura nicobarica",0,"XY","Crocidura nicobarica","Crocidura","Soricidae","Eulipotyphla","Eulipotyphla","Mammalia","MILLER 1902",1902,"Mammals",1,100,"HBL",0,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",16,1,"Phylogenetic Multiple Imputation",0,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,0,1,0,0,0,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Crocidura nicobarica","CR","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,93.84831633,6.850082977,1,6.850082977,"Marino, Leclerc, and Bellard, 2021, Glob. Chang. Biol., 28:1077-1090",0,0,1,0,0,0,0,0,272.2463576,3016.22053,456.8198675,44.80331126,9.46453168,682.3833076,11.69131863,0,0.000147017,0.000103897,0,NA
"Crocidura nigeriae",0,"XY","Crocidura nigeriae","Crocidura","Soricidae","Eulipotyphla","Eulipotyphla","Mammalia","DOLLMAN 1915",1915,"Mammals",1,109,"HBL",0,"Kingdon, Happold, Butynski, Hoffmann, Happold, and Kalina, 2013. Mammals of Africa, v. 1-6. London: Bloomsbury Publishing",24,0,"Kingdon, Happold, Butynski, Hoffmann, Happold, and Kalina, 2013. Mammals of Africa, v. 1-6. London: Bloomsbury Publishing",0,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,0,1,0,0,0,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Crocidura nigeriae","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",43,5.968876783,6.461975728,0,6.461975728,"This work",1,0,0,0,0,0,0,0,257.7524352,1808.519091,1279.907347,70.98079507,194.5730123,233.7104205,412.7107217,0.012394159,0.241554402,0.232471913,6.72814e-05,0.5
"Crocidura nigricans",0,"XY","Crocidura nigricans","Crocidura","Soricidae","Eulipotyphla","Eulipotyphla","Mammalia","BOCAGE 1889",1889,"Mammals",1,89,"HBL",0,"Kingdon, Happold, Butynski, Hoffmann, Happold, and Kalina, 2013. Mammals of Africa, v. 1-6. London: Bloomsbury Publishing",20,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",0,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,0,1,0,0,0,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",0.5,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,"Vesey-Fitzgerald, 1962, Mammalia, 26:171-17",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Crocidura nigricans","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",20,14.87754839,-13.71684037,0,13.71684037,"This work",1,0,0,0,0,0,0,0,201.3039839,1051.147894,1505.737787,93.88760549,1374.186276,358.9180773,42.84797641,0.001840336,0.073438179,0.281078226,0.102583675,NA
"Crocidura nigripes",0,"XY","Crocidura nigripes","Crocidura","Soricidae","Eulipotyphla","Eulipotyphla","Mammalia","MILLER & HOLLISTER 1921",1921,"Mammals",0,92,"",1,"Phylogenetic Multiple Imputation",13.2,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",0,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,0,1,0,0,0,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Crocidura nigripes","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",22,121.2140983,-0.627939805,1,0.627939805,"Marino, Leclerc, and Bellard, 2021, Glob. Chang. Biol., 28:1077-1090",0,1,0,0,0,0,0,0,232.771601,2359.504229,242.6621391,26.43408721,431.9551175,637.3947663,82.60133701,0.001424981,0.072345545,0.008530231,0,NA
