"","XYorvariant","sex","Scientific.Name","Genus","Family","Suborder","Order","Class","Authority","YearOfDescription","TreeTaxon","TreeImputed","BodyLength_mm","LengthMeasure","ImputedLength","SourceBodyLength","BodyMass_g","ImputedMass","SourceBodyMass","Diu","Noc","ImputedActTime","SourceActTime","Nocturnality","Fos","Ter","Aqu","Arb","Aer","ImputedHabitat","SourceHabitat","Verticality","MajorHabitat_1","MajorHabitat_2","MajorHabitat_3","MajorHabitat_4","MajorHabitat_5","MajorHabitat_6","MajorHabitat_7","MajorHabitat_8","MajorHabitat_9","MajorHabitat_10","MajorHabitat_12","MajorHabitat_13","MajorHabitat_14","MajorHabitat_15","MajorHabitat_16","MajorHabitat_17","MajorHabitatSum","ImputedMajorHabitat","SourceMajorHabitat","EcoTer","EcoFresh","EcoMar","EcosystemSum","ImputedEcosystem","SourceEcosystem","IUCN_Binomial","AssessedStatus","SourceStatus","RangeSize","Longitude","Latitude","Insularity","AbsoluteLatitude","SourceInsularity","Afrotropic","Australasia","IndoMalay","Nearctic","Neotropic","Oceania","Palearctic","Antarctic","AnnuMeanTemp","AnnuPrecip","TempSeasonality","PrecipSeasonality","Elevation","ETA50K","HumanDensity","PropUrbanArea","PropCroplandArea","PropPastureArea","PropRangeLandArea","perc.acro"
"Anourosorex assamensis",0,"XY","Anourosorex assamensis","Anourosorex","Soricidae","Eulipotyphla","Eulipotyphla","Mammalia","ANDERSON 1875",1875,"Mammals",1,108,"HBL",0,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",25.2,0,"Faurby and Svenning, 2016, Am. Nat., 187:812-20",0.1545,0.9931,1,"Phylogenetic Multiple Imputation",1,0,1,0,0,0,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",0.5,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Anourosorex assamensis","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",10,91.35954272,25.58995639,0,25.58995639,"This work",0,0,1,0,0,0,0,0,216.9266538,2951.163763,3900.120244,86.43979853,640.3708468,298.0369881,342.2461102,0.005183567,0.202252133,0.013457439,3.81739e-05,NA
"Anourosorex schmidi",0,"XY","Anourosorex schmidi","Anourosorex","Soricidae","Eulipotyphla","Eulipotyphla","Mammalia","PETTERSON 1963",1963,"Mammals",1,108,"HBL",0,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",37.2,0,"Faurby and Svenning, 2016, Am. Nat., 187:812-20",0.1726,0.9909,1,"Phylogenetic Multiple Imputation",1,0,1,0,0,0,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Anourosorex schmidi","DD","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",7,88.450741,27.53392366,0,27.53392366,"This work",0,0,0.714285714,0,0,0,0.285714286,0,123.198993,2543.018493,5010.75294,95.10474547,2240.313877,814.3495527,143.0757285,0.003179994,0.063036136,0.016248006,0.029666568,NA
"Anourosorex squamipes",0,"XY","Anourosorex squamipes","Anourosorex","Soricidae","Eulipotyphla","Eulipotyphla","Mammalia","MILNE-EDWARDS 1872",1872,"Mammals",0,110,"HBL",0,"Francis, 2019. Field Guide to the Mammals of Southeast Asia. Bloomsbury, London, 416 p.",20,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",0,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,0,1,0,0,0,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Anourosorex squamipes","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",141,103.5965826,27.11290258,0,27.11290258,"This work",0,0,0.411347518,0,0,0,0.588652482,0,154.0778359,1263.777758,5530.05474,79.66697475,1371.141545,497.5849452,158.5190064,0.005213171,0.107847831,0.078809086,0.002317997,0.083333333
"Anourosorex yamashinai",0,"XY","Anourosorex yamashinai","Anourosorex","Soricidae","Eulipotyphla","Eulipotyphla","Mammalia","KURODA 1935",1935,"Mammals",0,98,"HBL",0,"Smith, Xie, Hoffmann, Lunde, MacKinnon, Wilson, and Wozencraft, 2010. A guide to the mammals of China. Princeton University Press, Princeton, 576 p.",20,0,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",0.126,0.9941,1,"Phylogenetic Multiple Imputation",1,0,1,0,0,0,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",0.5,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Anourosorex yamashinai","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",8,120.9682417,23.74390791,1,23.74390791,"Marino, Leclerc, and Bellard, 2021, Glob. Chang. Biol., 28:1077-1090",0,0,1,0,0,0,0,0,191.6858514,2348.084856,4128.177436,65.19118288,481.5040146,246.9915141,637.5310992,0.0284558,0.06599364,0.101664974,0,NA
"Blarina brevicauda",0,"XY","Blarina brevicauda","Blarina","Soricidae","Eulipotyphla","Eulipotyphla","Mammalia","SAY 1823",1823,"Mammals",0,120.82,"HBL",0,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",28,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",0,1,0,"Jones, Bielby, Cardillo, Fritz, O'Dell, Orme, ... and Purvis, 2009, Ecology, 90:2648-2648",1,0,1,0,0,0,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",0.5,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Blarina brevicauda","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",429,-88.71327097,43.99046752,0,43.99046752,"This work",0,0,0,1,0,0,0,0,76.70423536,831.9122632,10099.04062,35.03536248,382.3286747,219.60047,49.49103046,0.010306045,0.172858392,0.05087395,0.058645157,1
"Blarina carolinensis",0,"XY","Blarina carolinensis","Blarina","Soricidae","Eulipotyphla","Eulipotyphla","Mammalia","BACHMAN 1837",1837,"Mammals",0,71,"HBL",0,"Schmidly and Bradley, 2016. The Mammals of Texas. University of Texas Press, Texas, 737 p.",28,0,"Schmidly and Bradley, 2016. The Mammals of Texas. University of Texas Press, Texas, 737 p.",1,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",0.5,1,1,0,0,0,0,"Schmidly and Bradley, 2016. The Mammals of Texas. University of Texas Press, Texas, 737 p.",0.25,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,4,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Blarina carolinensis","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",111,-86.63700247,32.72568298,0,32.72568298,"This work",0,0,0,1,0,0,0,0,181.4223368,1331.987377,6744.127626,22.07444197,70.37152441,133.7765108,56.76648795,0.013028679,0.14115524,0.053336979,0.00129617,1
"Blarina hylophaga",0,"XY","Blarina hylophaga","Blarina","Soricidae","Eulipotyphla","Eulipotyphla","Mammalia","ELLIOT 1899",1899,"Mammals",0,71,"HBL",0,"Schmidly and Bradley, 2016. The Mammals of Texas. University of Texas Press, Texas, 737 p.",28,0,"Schmidly and Bradley, 2016. The Mammals of Texas. University of Texas Press, Texas, 737 p.",1,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",0.5,1,1,0,0,0,0,"Schmidly and Bradley, 2016. The Mammals of Texas. University of Texas Press, Texas, 737 p.",0.25,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Blarina hylophaga","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",79,-93.96301792,37.10925545,0,37.10925545,"This work",0,0,0,1,0,0,0,0,143.8743243,1019.610011,8928.723973,31.31436424,282.5777877,159.0358928,29.3993959,0.008132516,0.249713214,0.099425071,0.098908888,0.76
"Blarinella griselda",0,"XY","Blarinella griselda","Blarinella","Soricidae","Eulipotyphla","Eulipotyphla","Mammalia","THOMAS 1912",1912,"Mammals",0,79,"HBL",0,"Smith, Xie, Hoffmann, Lunde, MacKinnon, Wilson, and Wozencraft, 2010. A guide to the mammals of China. Princeton University Press, Princeton, 576 p.",8,0,"Smith, Xie, Hoffmann, Lunde, MacKinnon, Wilson, and Wozencraft, 2010. A guide to the mammals of China. Princeton University Press, Princeton, 576 p.",0,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,0,1,0,0,0,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Blarinella griselda","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",63,107.7842343,32.19941018,0,32.19941018,"This work",0,0,0.174603175,0,0,0,0.825396825,0,133.974633,1030.172514,6636.66283,73.71428575,1386.028514,431.9151912,167.6816044,0.005404413,0.135610427,0.103235602,0.000615129,NA
"Blarinella quadraticauda",0,"XY","Blarinella quadraticauda","Blarinella","Soricidae","Eulipotyphla","Eulipotyphla","Mammalia","MILNE-EDWARDS 1872",1872,"Mammals",0,81,"HBL",0,"Smith, Xie, Hoffmann, Lunde, MacKinnon, Wilson, and Wozencraft, 2010. A guide to the mammals of China. Princeton University Press, Princeton, 576 p.",12.5,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",0,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,0,1,0,0,0,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",0.5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Blarinella quadraticauda","NT","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",6,102.777575,30.20322786,0,30.20322786,"This work",0,0,0,0,0,0,1,0,90.44801697,1064.706962,6216.57863,85.477959,2301.872693,908.173206,160.9179087,0.006745378,0.061559803,0.097404278,0.00456465,NA
"Blarinella wardi",0,"XY","Blarinella wardi","Blarinella","Soricidae","Eulipotyphla","Eulipotyphla","Mammalia","THOMAS 1915",1915,"Mammals",0,75,"HBL",0,"Francis, 2019. Field Guide to the Mammals of Southeast Asia. Bloomsbury, London, 416 p.",12.5,0,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",0,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,0,1,0,0,0,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Blarinella wardi","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",18,99.18366508,25.33145079,0,25.33145079,"This work",0,0,0.555555556,0,0,0,0.444444444,0,156.6041759,1456.406962,4334.476389,81.28063709,1851.020278,490.8362331,78.6038194,0.002930504,0.063925574,0.078792411,0.000506935,NA
"Chimarrogale hantu",0,"XY","Chimarrogale hantu","Chimarrogale","Soricidae","Eulipotyphla","Eulipotyphla","Mammalia","HARRISON, 1958",1958,"Mammals",1,120,"HBL",0,"Francis, 2019. Field Guide to the Mammals of Southeast Asia. Bloomsbury, London, 416 p.",30,0,"Francis, 2019. Field Guide to the Mammals of Southeast Asia. Bloomsbury, London, 416 p.",0,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,0,1,0,0,0,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",0.5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,1,0,2,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Chimarrogale hantu","NT","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",8,101.6158251,4.520931486,0,4.520931486,"This work",0,0,1,0,0,0,0,0,248.5942317,2523.715225,612.556212,34.039531,386.5533757,629.8574676,143.6777583,0.017398495,0.175736108,0.005985162,0,NA
"Chimarrogale himalayica",0,"XY","Chimarrogale himalayica","Chimarrogale","Soricidae","Eulipotyphla","Eulipotyphla","Mammalia","GRAY 1842",1842,"Mammals",0,132,"HBL",0,"Smith, Xie, Hoffmann, Lunde, MacKinnon, Wilson, and Wozencraft, 2010. A guide to the mammals of China. Princeton University Press, Princeton, 576 p.",56,0,"Smith, Xie, Hoffmann, Lunde, MacKinnon, Wilson, and Wozencraft, 2010. A guide to the mammals of China. Princeton University Press, Princeton, 576 p.",1,1,0,"Jones, Bielby, Cardillo, Fritz, O'Dell, Orme, ... and Purvis, 2009, Ecology, 90:2648-2648",0.5,0,1,1,0,0,0,"Jenkins, 2013, Raffles Bull. Zool., 29:161-175",0.5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,1,0,2,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Chimarrogale himalayica","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",332,109.2589478,28.78362753,0,28.78362753,"This work",0,0,0.385542169,0,0,0,0.614457831,0,154.6647351,1201.284219,6995.971265,74.18378748,900.1749103,342.4780145,288.7115561,0.009101794,0.164191767,0.116569066,0.005851541,NA
"Chimarrogale phaeura",0,"XY","Chimarrogale phaeura","Chimarrogale","Soricidae","Eulipotyphla","Eulipotyphla","Mammalia","THOMAS, 1898",1898,"Mammals",0,100.49,"HBL",0,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",22,1,"Phylogenetic Multiple Imputation",0,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,0,1,0,0,0,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",0.5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,1,0,2,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Chimarrogale phaeura","EN","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",3,116.1579533,5.580623678,1,5.580623678,"Marino, Leclerc, and Bellard, 2021, Glob. Chang. Biol., 28:1077-1090",0,0,1,0,0,0,0,0,239.3299658,2424.105089,470.996575,21.46604822,474.0472741,814.3501587,99.07649444,0.008108323,0.124023843,0.001296188,1.48633e-05,NA
"Chimarrogale platycephalus",0,"XY","Chimarrogale platycephalus","Chimarrogale","Soricidae","Eulipotyphla","Eulipotyphla","Mammalia","TEMMINCK 1842",1842,"Mammals",0,117,"HBL",0,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",36.32,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,0,0,"Jones, Bielby, Cardillo, Fritz, O'Dell, Orme, ... and Purvis, 2009, Ecology, 90:2648-2648",0,0,1,0,0,0,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",0.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,1,0,2,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Chimarrogale platycephalus","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",43,138.1641591,36.90693119,1,36.90693119,"Marino, Leclerc, and Bellard, 2021, Glob. Chang. Biol., 28:1077-1090",0,0,0.046511628,0,0,0,0.953488372,0,127.9071774,1806.943276,7828.606631,40.47252277,356.3939125,93.21610482,327.5509842,0.020665313,0.060456261,0.004555541,0,NA
"Chimarrogale styani",0,"XY","Chimarrogale styani","Chimarrogale","Soricidae","Eulipotyphla","Eulipotyphla","Mammalia","DE WINTON 1899",1899,"Mammals",0,110,"HBL",0,"Francis, 2019. Field Guide to the Mammals of Southeast Asia. Bloomsbury, London, 416 p.",24.3,1,"Phylogenetic Multiple Imputation",0,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,0,1,0,0,0,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",0.5,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,1,0,2,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Chimarrogale styani","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",93,100.7552748,30.91592108,0,30.91592108,"This work",0,0,0.086021505,0,0,0,0.913978495,0,52.74372784,838.8949347,6495.142195,89.46868919,3207.862773,1293.001559,76.8663627,0.002688457,0.047945152,0.129944938,0.126561522,NA
"Chimarrogale sumatrana",0,"XY","Chimarrogale sumatrana","Chimarrogale","Soricidae","Eulipotyphla","Eulipotyphla","Mammalia","(THOMAS, 1921)",1921,"Mammals",1,100.49,"HBL",0,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",31.47,0,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",0,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,0,1,0,0,0,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",0.5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,1,0,2,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Chimarrogale sumatrana","DD","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,103.3745301,-3.974441078,1,3.974441078,"Marino, Leclerc, and Bellard, 2021, Glob. Chang. Biol., 28:1077-1090",0,0,1,0,0,0,0,0,237.6784722,2870.578056,293.7054861,32.04458333,448.3351389,248.6663889,70.94062435,0.003644178,0.368964885,0.080551073,0,NA
"Chodsigoa caovansunga",0,"XY","Chodsigoa caovansunga","Chodsigoa","Soricidae","Eulipotyphla","Eulipotyphla","Mammalia","LUNDE, MUSSER, & NGUYEN TRUONG SON 2003",2003,"Mammals",0,64,"HBL",0,"Francis, 2019. Field Guide to the Mammals of Southeast Asia. Bloomsbury, London, 416 p.",6,0,"Faurby and Svenning, 2016, Am. Nat., 187:812-20",0,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,0,1,0,0,0,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Chodsigoa caovansunga","DD","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",2,104.6566024,22.61686659,0,22.61686659,"This work",0,0,1,0,0,0,0,0,191.3444735,1934.971737,4221.812507,77.66791404,1022.898837,235.5682825,108.9255334,0.002399893,0.193969817,0.069005406,0,NA
"Chodsigoa hypsibia",0,"XY","Chodsigoa hypsibia","Chodsigoa","Soricidae","Eulipotyphla","Eulipotyphla","Mammalia","DE WINTON 1899",1899,"Mammals",0,99,"HBL",0,"Smith, Xie, Hoffmann, Lunde, MacKinnon, Wilson, and Wozencraft, 2010. A guide to the mammals of China. Princeton University Press, Princeton, 576 p.",15.2,0,"Faurby and Svenning, 2016, Am. Nat., 187:812-20",0,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,0,1,0,0,0,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",0.5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Chodsigoa hypsibia","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",66,104.1631622,31.69794889,0,31.69794889,"This work",0,0,0,0,0,0,1,0,78.84433479,831.257248,6954.528393,86.46625119,2415.904862,1019.199362,126.087718,0.00406366,0.087003857,0.123611106,0.039699888,NA
"Chodsigoa lamula",0,"XY","Chodsigoa lamula","Chodsigoa","Soricidae","Eulipotyphla","Eulipotyphla","Mammalia","THOMAS, 1912",1912,"Mammals",1,75,"HBL",0,"Smith, Xie, Hoffmann, Lunde, MacKinnon, Wilson, and Wozencraft, 2010. A guide to the mammals of China. Princeton University Press, Princeton, 576 p.",7.8,0,"Faurby and Svenning, 2016, Am. Nat., 187:812-20",0,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,0,1,0,0,0,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Chodsigoa lamula","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",14,100.4850583,27.42445098,0,27.42445098,"This work",0,0,0,0,0,0,1,0,76.03092199,876.9093897,6099.050419,96.2735989,2786.912737,960.5989765,124.9984568,0.006373693,0.056218874,0.1234266,0.020556095,NA
"Chodsigoa parca",0,"XY","Chodsigoa parca","Chodsigoa","Soricidae","Eulipotyphla","Eulipotyphla","Mammalia","G. M. ALLEN 1923",1923,"Mammals",0,85,"HBL",0,"Francis, 2019. Field Guide to the Mammals of Southeast Asia. Bloomsbury, London, 416 p.",9.5,0,"Smith, Xie, Hoffmann, Lunde, MacKinnon, Wilson, and Wozencraft, 2010. A guide to the mammals of China. Princeton University Press, Princeton, 576 p.",0,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,0,1,0,0,0,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Chodsigoa parca","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",66,101.98414,25.2465756,0,25.2465756,"This work",0,0,0.409090909,0,0,0,0.590909091,0,152.9079056,1179.600538,4623.389401,84.59836093,1793.644202,390.9078245,122.7844307,0.004226663,0.088170894,0.08807651,0.002057245,NA
"Chodsigoa parva",0,"XY","Chodsigoa parva","Chodsigoa","Soricidae","Eulipotyphla","Eulipotyphla","Mammalia","G. M. ALLEN 1923",1923,"Mammals",1,65,"",1,"Phylogenetic Multiple Imputation",3.5,0,"Faurby and Svenning, 2016, Am. Nat., 187:812-20",1,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",0.5,0,1,0,0,0,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"Taxonomic Imputation",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Chodsigoa parva","DD","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",2,99.99381332,26.76674514,0,26.76674514,"This work",0,0,0,0,0,0,1,0,95.75116688,930.7468985,5197.66726,87.38832926,2929.070293,669.9755359,42.41638655,0.001057123,0.028391627,0.061967199,0,NA
