"","XYorvariant","sex","Scientific.Name","Genus","Family","Suborder","Order","Class","Authority","YearOfDescription","TreeTaxon","TreeImputed","BodyLength_mm","LengthMeasure","ImputedLength","SourceBodyLength","BodyMass_g","ImputedMass","SourceBodyMass","Diu","Noc","ImputedActTime","SourceActTime","Nocturnality","Fos","Ter","Aqu","Arb","Aer","ImputedHabitat","SourceHabitat","Verticality","MajorHabitat_1","MajorHabitat_2","MajorHabitat_3","MajorHabitat_4","MajorHabitat_5","MajorHabitat_6","MajorHabitat_7","MajorHabitat_8","MajorHabitat_9","MajorHabitat_10","MajorHabitat_12","MajorHabitat_13","MajorHabitat_14","MajorHabitat_15","MajorHabitat_16","MajorHabitat_17","MajorHabitatSum","ImputedMajorHabitat","SourceMajorHabitat","EcoTer","EcoFresh","EcoMar","EcosystemSum","ImputedEcosystem","SourceEcosystem","IUCN_Binomial","AssessedStatus","SourceStatus","AssessedStatus2","SourceStatus2","ThreatStatus","ImputedThreatStatus","AbsoluteLatitude","RangeSize","RangeSize_km2","Longitude","Latitude","Insularity","SourceInsularity","Afrotropic","Australasia","IndoMalay","Nearctic","Neotropic","Oceania","Palearctic","Antarctic","AnnuMeanTemp","AnnuPrecip","TempSeasonality","PrecipSeasonality","Elevation","ETA50K","HumanDensity","PropUrbanArea","PropCroplandArea","PropPastureArea","PropRangeLandArea","PropGrazingArea","PropAnthroHyde","DietInv","DietVend","DietVect","DietVfish","DietVunk","DietScav","DietFruit","DietNect","DietSeed","DietPlant","SourceDiet","DietBreadth","MaxLongevity","SourceLongevity","LitterSize","LitterSize_Metric","SourceLitterSize","DirectDev","LarvalStage","Viviparity","SourceDirectDev","SourceLarvalStage","BiomeNum_1","BiomeNum_2","BiomeNum_3","BiomeNum_4","BiomeNum_5","BiomeNum_6","BiomeNum_7","BiomeNum_8","BiomeNum_9","BiomeNum_10","BiomeNum_11","BiomeNum_12","BiomeNum_13","BiomeNum_14","PopulationTrend","Threat_1","Threat_2","Threat_3","Threat_4","Threat_5","Threat_6","Threat_7","Threat_8","Threat_9","Threat_10","Threat_11","Threat_12","ThreatSum","perc.acro","haploid","auto.hap"
"Artibeus planirostris",1,"XAfusion","Artibeus planirostris","Artibeus","Phyllostomidae","Chiroptera","Chiroptera","Mammalia","SPIX 1823",1823,"Mammals",0,93,"HBL",0,"Soria, Pacifici, Di Marco, Stephen, and Rondinini, 2021, Ecology, 102:e03344",47,0,"Faurby and Svenning, 2016, Am. Nat., 187:812-20",0,1,0,"Soria, Pacifici, Di Marco, Stephen, and Rondinini, 2021, Ecology, 102:e03344",1,0,0,0,1,1,0,"Soria, Pacifici, Di Marco, Stephen, and Rondinini, 2021, Ecology, 102:e03344",1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Artibeus planirostris","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","LC",0,8.55508033,975,14014593.11,-56.33606517,-8.55508033,0,"This work",0,0,0,0,1,0,0,0,248.0996057,1831.613073,1045.351921,62.95457003,322.5603521,1104.553073,16.5657995,0.001914668,0.073003652,0.041986281,0.101499564,0.178912788,0.116904601,0,0,0,0,0,0,1,0,0,0,"Alurralde, Berrizbeitia, Barquez, and Díaz, 2016, Mammalia, 80:253-262",1,NA,"","","","",1,0,1,"Assumed for this work","Assumed for this work",0.625641026,0.111794872,0,0,0,0,0.235897436,0,0.011282051,0.001025641,0,0,0,0.009230769,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,15,14
"Brachyphylla nana",0,"XYknown","Brachyphylla nana","Brachyphylla","Phyllostomidae","Chiroptera","Chiroptera","Mammalia","MILLER 1902",1902,"Mammals",0,84.2,"HBL",0,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",45.5,0,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",0,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,0,0,0,1,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Brachyphylla nana","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","LC",0,21.60109753,45,195042.5314,-78.91392824,21.60109753,1,"Marino, Leclerc, and Bellard, 2021, Glob. Chang. Biol., 28:1077-1090",0,0,0,0,1,0,0,0,248.2879331,1356.393217,1500.854969,50.60371382,142.1413712,135.4877086,193.7550295,0.005305815,0.147539529,0.113376842,0.001113476,0.118547831,0.266222186,0,0,0,0,0,0,1,0,0,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,NA,"","0.99","Midpoint","Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",1,0,1,"Assumed for this work","Assumed for this work",0.355555556,0.466666667,0.066666667,0,0,0,0,0,0,0,0,0,0.044444444,0.066666667,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,16,15
"Carollia brevicauda",1,"XAfusion","Carollia brevicauda","Carollia","Phyllostomidae","Chiroptera","Chiroptera","Mammalia","SCHINZ 1821",1821,"Mammals",0,70,"HBL",0,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",14.85,0,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",0,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,0,0,0,1,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Carollia brevicauda","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","LC",0,4.559619393,982,10748136.03,-59.97676948,-4.559619393,0,"This work",0,0,0,0,1,0,0,0,245.1279868,2005.96682,779.9473502,57.42364672,381.9076078,1280.521619,21.99603686,0.001878016,0.040580933,0.056293846,0.048243861,0.130833619,0.098752794,0,0,0,0,0,0,1,0,0,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,NA,"","0.98","Average","Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",1,0,1,"Assumed for this work","Assumed for this work",0.681262729,0.131364562,0,0,0,0,0.134419552,0,0,0.011201629,0,0,0.021384929,0.011201629,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,10,9
"Carollia castanea",1,"XAfusion","Carollia castanea","Carollia","Phyllostomidae","Chiroptera","Chiroptera","Mammalia","H. ALLEN 1890",1890,"Mammals",0,60,"HBL",0,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",13.3,0,"Faurby and Svenning, 2016, Am. Nat., 187:812-20",0,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,0,0,0,1,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Carollia castanea","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","LC",0,5.781394489,273,2501330.673,-72.62144078,5.781394489,0,"This work",0,0,0,0,1,0,0,0,237.9759512,2391.717455,592.132193,50.51746574,477.4949915,1032.334321,47.90660964,0.003124177,0.040284344,0.11878454,0.071828412,0.214198548,0.162193061,0,0,0,0,0,0,1,0,0,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,NA,"","0.99","Average","Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",1,0,1,"Assumed for this work","Assumed for this work",0.677655678,0.080586081,0.021978022,0,0,0,0.120879121,0,0,0,0,0,0.06959707,0.010989011,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,10,9
"Carollia perspicillata",1,"XAfusion","Carollia perspicillata","Carollia","Phyllostomidae","Chiroptera","Chiroptera","Mammalia","LINNAEUS 1758",1758,"Mammals",0,74,"HBL",0,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",19.23,0,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",0,1,0,"Jones, Bielby, Cardillo, Fritz, O'Dell, Orme, ... and Purvis, 2009, Ecology, 90:2648-2648",1,0,0,0,1,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Carollia perspicillata","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","LC",0,6.123869585,1278,13872069.25,-60.30370453,-6.123869585,0,"This work",0,0,0,0,1,0,0,0,241.7383508,1923.029278,1048.580218,57.33068319,398.5539174,1055.50126,30.25342867,0.002763884,0.071593143,0.067081378,0.076164777,0.170956638,0.141438405,0,0,0,0,0,0,1,0,0,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,17,"Wilkinson and Adams, 2019, Biol. Lett., 15:20180860","1","CentralTendency","Jones, Bielby, Cardillo, Fritz, O'Dell, Orme, ... and Purvis, 2009, Ecology, 90:2648-2648",1,0,1,"Assumed for this work","Assumed for this work",0.628325509,0.115805947,0.009389671,0,0,0,0.190140845,0,0.010954617,0.007824726,0,0,0.017214397,0.010954617,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,10,9
"Carollia subrufa",1,"XAfusion","Carollia subrufa","Carollia","Phyllostomidae","Chiroptera","Chiroptera","Mammalia","HAHN 1905",1905,"Mammals",0,61,"HBL",0,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",15.84,0,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",0,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,0,0,0,1,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Carollia subrufa","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","LC",0,14.48385441,38,212247.0429,-89.73877326,14.48385441,0,"This work",0,0,0,0,1,0,0,0,230.7384609,1819.758025,1042.097381,80.15678883,693.118642,190.8170056,164.5839889,0.012133246,0.167077341,0.152109683,0.000272378,0.157991598,0.331320271,0,0,0,0,0,0,1,0,0,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,NA,"","0.985","Midpoint","Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",1,0,1,"Assumed for this work","Assumed for this work",0.473684211,0.263157895,0.236842105,0,0,0,0,0,0,0,0,0,0,0.026315789,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,10,9
"Centurio senex",0,"XYknown","Centurio senex","Centurio","Phyllostomidae","Chiroptera","Chiroptera","Mammalia","GRAY 1842",1842,"Mammals",0,68,"HBL",0,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",28,0,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",0,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,0,0,0,1,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Centurio senex","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","LC",0,13.52064194,266,2085278.177,-83.7267714,13.52064194,0,"This work",0,0,0,0.060150376,0.939849624,0,0,0,238.0921474,1705.758722,1195.765392,69.31398518,518.7413676,330.9360488,78.69666482,0.005613969,0.089566797,0.139575706,0.041030792,0.211578928,0.234756473,0,0,0,0,0,0,1,0,0,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,NA,"","0.995","Midpoint","Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",1,0,1,"Assumed for this work","Assumed for this work",0.454887218,0.22556391,0.112781955,0,0,0,0.086466165,0,0,0,0,0,0.082706767,0.018796992,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,14,13
"Chiroderma improvisum",0,"XYknown","Chiroderma improvisum","Chiroderma","Phyllostomidae","Chiroptera","Chiroptera","Mammalia","BAKER & GENOWAYS 1976",1976,"Mammals",0,83,"",1,"Phylogenetic Multiple Imputation",35.39,0,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",0,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,0,0,0,1,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Chiroderma improvisum","EN","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","EN","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","EN",0,16.1610887,2,1571.086863,-61.67629962,16.1610887,1,"Marino, Leclerc, and Bellard, 2021, Glob. Chang. Biol., 28:1077-1090",0,0,0,0,1,0,0,0,259.4543304,1582.140566,1007.071062,35.99052096,21.45817682,67.16647094,340.2656235,0.002865485,0.016070758,0.016551359,0,0.016551359,0.035487602,0,0,0,0,0,0,1,0,0,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,NA,"","","","",1,0,1,"Assumed for this work","Assumed for this work",0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,1,1,0,2,0.083333333,13,12
"Chiroderma villosum",1,"XAYAfusion","Chiroderma villosum","Chiroderma","Phyllostomidae","Chiroptera","Chiroptera","Mammalia","PETERS 1860",1860,"Mammals",0,79,"HBL",0,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",23.81,0,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",0,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,0,0,0,1,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Chiroderma villosum","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","LC",0,3.277633472,996,10557013.47,-64.41882908,-3.277633472,0,"This work",0,0,0,0,1,0,0,0,245.1490317,2116.14815,829.4016349,55.83704424,347.0149224,1315.705841,20.45276375,0.001671497,0.055073121,0.041230518,0.068711412,0.137100196,0.097975136,0,0,0,0,0,0,1,0,0,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,NA,"","0.99","Average","Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",1,0,1,"Assumed for this work","Assumed for this work",0.697791165,0.063253012,0.016064257,0,0,0,0.16064257,0,0.011044177,0.009036145,0,0,0.022088353,0.009036145,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,13,12
"Choeroniscus godmani",0,"XYknown","Choeroniscus godmani","Choeroniscus","Phyllostomidae","Chiroptera","Chiroptera","Mammalia","THOMAS 1903",1903,"Mammals",0,58,"HBL",0,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",7.9,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",0,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,0,0,0,1,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Choeroniscus godmani","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","LC",0,6.055283491,314,2740352.492,-66.20204744,6.055283491,0,"This work",0,0,0,0.012738854,0.987261146,0,0,0,241.5450406,2076.580687,781.0100094,61.22492955,457.807743,903.4470245,53.85136462,0.003581095,0.05021686,0.109019107,0.072342686,0.203991931,0.162817062,1,0,0,0,0,0,1,1,0,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",3,NA,"","0.98","Average","Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",1,0,1,"Assumed for this work","Assumed for this work",0.560509554,0.162420382,0.060509554,0,0,0,0.124203822,0,0,0,0,0,0.060509554,0.01910828,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,10,9
"Choeroniscus minor",0,"XYknown","Choeroniscus minor","Choeroniscus","Phyllostomidae","Chiroptera","Chiroptera","Mammalia","PETERS 1868",1868,"Mammals",0,61,"HBL",0,"Nogueira, Lima, Peracchi, and Simmons, 2012, Am. Mus. Novit., 2012:1-30",12,0,"Nogueira, Lima, Peracchi, and Simmons, 2012, Am. Mus. Novit., 2012:1-30",0,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,0,0,0,1,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Choeroniscus minor","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","LC",0,2.048635378,538,5047155.912,-61.32248544,-2.048635378,0,"This work",0,0,0,0,1,0,0,0,248.1787293,2215.041048,721.4637727,51.54720805,274.835269,1648.737836,19.46015876,0.001705171,0.026624248,0.039138516,0.044476348,0.096456316,0.067467934,1,0,0,0,0,0,1,1,0,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",3,NA,"","0.98","Average","Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",1,0,1,"Assumed for this work","Assumed for this work",0.773234201,0.100371747,0,0,0,0,0.078066914,0,0,0.00929368,0,0,0.003717472,0.020446097,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,10,9
"Chrotopterus auritus",0,"XYknown","Chrotopterus auritus","Chrotopterus","Phyllostomidae","Chiroptera","Chiroptera","Mammalia","PETERS 1856",1856,"Mammals",0,114,"HBL",0,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",96.1,0,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",0,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,0,0,0,1,1,0,"Soria, Pacifici, Di Marco, Stephen, and Rondinini, 2021, Ecology, 102:e03344",1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Chrotopterus auritus","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","LC",0,8.059734084,1226,13116554.63,-57.39825718,-8.059734084,0,"This work",0,0,0,0,1,0,0,0,244.0321913,1895.707892,1115.507641,58.12333203,340.9471117,1073.925788,27.06588832,0.002622325,0.071702555,0.060439515,0.081682778,0.170634192,0.134764395,1,1,1,1,0,0,1,0,0,0,"Gual-Suárez and Medellín, 2021, Mammal Rev, 51:540-558",5,NA,"","0.995","Midpoint","Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",1,0,1,"Assumed for this work","Assumed for this work",0.614192496,0.118270799,0.009787928,0,0,0,0.204730832,0,0.01141925,0.007340946,0,0,0.015497553,0.01141925,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,14,13
"Dermanura azteca",1,"XAfusion","Dermanura azteca","Dermanura","Phyllostomidae","Chiroptera","Chiroptera","Mammalia","(K. ANDERSEN, 1906)",1906,"Mammals",0,75,"HBL",0,"Soria, Pacifici, Di Marco, Stephen, and Rondinini, 2021, Ecology, 102:e03344",20.38,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",0,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,0,0,0,1,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Dermanura azteca","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","LC",0,19.75387238,98,606560.7663,-100.7603757,19.75387238,0,"This work",0,0,0,0.142857143,0.857142857,0,0,0,209.782047,1368.435801,1673.955424,87.61242527,1086.93248,251.1869689,138.8521003,0.012271538,0.106271415,0.137715427,0.022160459,0.184271714,0.25625838,0,0,0,0,0,0,1,0,0,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,NA,"","","","",1,0,1,"Assumed for this work","Assumed for this work",0.346938776,0.306122449,0.265306122,0,0,0,0,0,0,0,0,0,0.081632653,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,15,14
"Dermanura cinerea",1,"XAYAfusion","Dermanura cinerea","Dermanura","Phyllostomidae","Chiroptera","Chiroptera","Mammalia","GERVAIS, 1856",1856,"Mammals",0,54,"",1,"Phylogenetic Multiple Imputation",12.63,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",0,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,0,0,0,1,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Dermanura cinerea","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","LC",0,6.482103208,428,4321533.973,-48.09631579,-6.482103208,0,"This work",0,0,0,0,1,0,0,0,251.0686052,1574.675715,1053.43524,69.87588132,353.8160792,655.7634356,32.6038723,0.003582471,0.069948377,0.075263822,0.079584561,0.183719426,0.14879467,0,0,0,0,0,0,1,0,0,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,NA,"","","","",1,0,1,"Assumed for this work","Assumed for this work",0.53271028,0.210280374,0,0,0,0,0.212616822,0,0,0,0,0,0.007009346,0.025700935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,15,14
