"","XYorvariant","sex.imputed","sex","Scientific.Name","Genus","Family","Suborder","Order","Class","Authority","YearOfDescription","TreeTaxon","TreeImputed","BodyLength_mm","LengthMeasure","ImputedLength","SourceBodyLength","BodyMass_g","ImputedMass","SourceBodyMass","Diu","Noc","ImputedActTime","SourceActTime","Nocturnality","Fos","Ter","Aqu","Arb","Aer","ImputedHabitat","SourceHabitat","Verticality","MajorHabitat_1","MajorHabitat_2","MajorHabitat_3","MajorHabitat_4","MajorHabitat_5","MajorHabitat_6","MajorHabitat_7","MajorHabitat_8","MajorHabitat_9","MajorHabitat_10","MajorHabitat_12","MajorHabitat_13","MajorHabitat_14","MajorHabitat_15","MajorHabitat_16","MajorHabitat_17","MajorHabitatSum","ImputedMajorHabitat","SourceMajorHabitat","EcoTer","EcoFresh","EcoMar","EcosystemSum","ImputedEcosystem","SourceEcosystem","IUCN_Binomial","AssessedStatus","SourceStatus","AssessedStatus2","SourceStatus2","ThreatStatus","ImputedThreatStatus","AbsoluteLatitude","RangeSize","RangeSize_km2","Longitude","Latitude","Insularity","SourceInsularity","Afrotropic","Australasia","IndoMalay","Nearctic","Neotropic","Oceania","Palearctic","Antarctic","AnnuMeanTemp","AnnuPrecip","TempSeasonality","PrecipSeasonality","Elevation","ETA50K","HumanDensity","PropUrbanArea","PropCroplandArea","PropPastureArea","PropRangeLandArea","PropGrazingArea","PropAnthroHyde","DietInv","DietVend","DietVect","DietVfish","DietVunk","DietScav","DietFruit","DietNect","DietSeed","DietPlant","SourceDiet","DietBreadth","MaxLongevity","SourceLongevity","LitterSize","LitterSize_Metric","SourceLitterSize","DirectDev","LarvalStage","Viviparity","SourceDirectDev","SourceLarvalStage","BiomeNum_1","BiomeNum_2","BiomeNum_3","BiomeNum_4","BiomeNum_5","BiomeNum_6","BiomeNum_7","BiomeNum_8","BiomeNum_9","BiomeNum_10","BiomeNum_11","BiomeNum_12","BiomeNum_13","BiomeNum_14","PopulationTrend","Threat_1","Threat_2","Threat_3","Threat_4","Threat_5","Threat_6","Threat_7","Threat_8","Threat_9","Threat_10","Threat_11","Threat_12","ThreatSum","perc.acro"
"Dologale dybowskii",0,"1","XY","Dologale dybowskii","Dologale","Herpestidae","Carnivora","Carnivora","Mammalia","POUSARGUES 1893",1893,"Mammals",1,296,"HBL",0,"Kingdon, Happold, Butynski, Hoffmann, Happold, and Kalina, 2013. Mammals of Africa, v. 1-6. London: Bloomsbury Publishing",350,0,"Kingdon, Happold, Butynski, Hoffmann, Happold, and Kalina, 2013. Mammals of Africa, v. 1-6. London: Bloomsbury Publishing",1,0,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",0,0,1,0,0,0,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",0.5,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Dologale dybowskii","DD","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","DD","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","",NA,3.909700699,61,487957.824,28.69748044,3.909700699,0,"This work",1,0,0,0,0,0,0,0,235.7977392,1437.6092,1117.542535,55.36861432,802.2936985,582.6783432,59.9611778,0.002019436,0.116233067,0.112994601,0.018043507,0.133810248,0.231247104,1,0,0,0,1,0,0,0,0,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",2,NA,"","4","CentralTendency","Jones, Bielby, Cardillo, Fritz, O'Dell, Orme, ... and Purvis, 2009, Ecology, 90:2648-2648",1,0,1,"Assumed for this work","Assumed for this work",0.180327869,0,0,0,0,0,0.819672131,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Helogale hirtula",0,"0","XY","Helogale hirtula","Helogale","Herpestidae","Carnivora","Carnivora","Mammalia","THOMAS 1904",1904,"Mammals",0,270,"HBL",0,"Kingdon, Happold, Butynski, Hoffmann, Happold, and Kalina, 2013. Mammals of Africa, v. 1-6. London: Bloomsbury Publishing",354,0,"Kingdon, Happold, Butynski, Hoffmann, Happold, and Kalina, 2013. Mammals of Africa, v. 1-6. London: Bloomsbury Publishing",1,0,0,"Jones, Bielby, Cardillo, Fritz, O'Dell, Orme, ... and Purvis, 2009, Ecology, 90:2648-2648",0,0,1,0,0,0,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",0.5,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Helogale hirtula","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","LC",0,3.539505026,102,912782.3853,42.4403738,3.539505026,0,"This work",1,0,0,0,0,0,0,0,266.4878169,396.3081673,1053.849148,107.1576078,410.1062098,637.4068226,16.4082297,0.000293166,0.018658396,0.018885728,0.339288452,0.371417217,0.03783729,1,0,0,0,1,0,0,0,0,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",2,9.65,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109","","","",1,0,1,"Assumed for this work","Assumed for this work",0.088235294,0,0,0,0,0,0.87254902,0,0,0,0,0,0.039215686,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Helogale parvula",0,"0","XY","Helogale parvula","Helogale","Herpestidae","Carnivora","Carnivora","Mammalia","SUNDEVALL 1847",1847,"Mammals",0,227,"HBL",0,"Kingdon, Happold, Butynski, Hoffmann, Happold, and Kalina, 2013. Mammals of Africa, v. 1-6. London: Bloomsbury Publishing",341,0,"Kingdon, Happold, Butynski, Hoffmann, Happold, and Kalina, 2013. Mammals of Africa, v. 1-6. London: Bloomsbury Publishing",1,0,0,"Jones, Bielby, Cardillo, Fritz, O'Dell, Orme, ... and Purvis, 2009, Ecology, 90:2648-2648",0,0,1,0,0,0,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",0.5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Helogale parvula","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","LC",0,7.219326212,686,7348514.423,32.32822625,-7.219326212,0,"This work",1,0,0,0,0,0,0,0,225.0303194,864.718155,1884.135371,94.12427426,937.6492039,536.3956184,48.65387941,0.00160426,0.08054949,0.124775274,0.158017919,0.289844375,0.206929025,1,0,0,0,1,0,0,0,0,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",2,10.91666667,"Jones, Bielby, Cardillo, Fritz, O'Dell, Orme, ... and Purvis, 2009, Ecology, 90:2648-2648","3.49","CentralTendency","Jones, Bielby, Cardillo, Fritz, O'Dell, Orme, ... and Purvis, 2009, Ecology, 90:2648-2648",1,0,1,"Assumed for this work","Assumed for this work",0.072886297,0.002915452,0,0,0,0,0.813411079,0,0.014577259,0.027696793,0,0,0.062682216,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"Urva brachyura",1,"0","YAfusion","Urva brachyura","Herpestes","Herpestidae","Carnivora","Carnivora","Mammalia","GRAY, 1837",1837,"Mammals",0,445,"HBL",0,"Francis, 2019. Field Guide to the Mammals of Southeast Asia. Bloomsbury, London, 416 p.",1853.52,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,0,0,"Francis, 2019. Field Guide to the Mammals of Southeast Asia. Bloomsbury, London, 416 p.",0,0,1,0,0,0,0,"Francis, 2019. Field Guide to the Mammals of Southeast Asia. Bloomsbury, London, 416 p.",0.5,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Herpestes brachyurus","NT","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","NT","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","NT",0,0.860927765,161,1271944.279,114.2051735,0.860927765,0,"This work",0,0,1,0,0,0,0,0,252.4393284,2913.421836,339.3764902,25.73697237,243.5833461,1173.642167,76.21436426,0.003690118,0.200769252,0.030303791,2.6e-07,0.037493184,0.234763161,1,1,1,0,0,0,0,0,0,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",3,8.9,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109","3.49","CentralTendency","Jones, Bielby, Cardillo, Fritz, O'Dell, Orme, ... and Purvis, 2009, Ecology, 90:2648-2648",1,0,1,"Assumed for this work","Assumed for this work",0.944099379,0,0,0,0,0,0,0,0,0,0,0,0,0.031055901,0,0,1,0,0,1,0,1,0,0,0,0,0,3,"0"
"Urva edwardsii",1,"0","YAfusion","Urva edwardsii","Herpestes","Herpestidae","Carnivora","Carnivora","Mammalia","(É. GEOFFROY SAINT-HILAIRE, 1818)",1818,"Mammals",0,480,"HBL",0,"Francis, 2019. Field Guide to the Mammals of Southeast Asia. Bloomsbury, London, 416 p.",1300,0,"Francis, 2019. Field Guide to the Mammals of Southeast Asia. Bloomsbury, London, 416 p.",1,1,0,"Francis, 2019. Field Guide to the Mammals of Southeast Asia. Bloomsbury, London, 416 p.",0.5,0,1,0,0,0,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",0.5,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,4,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Herpestes edwardsii","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","LC",0,24.00722179,446,4314126.844,73.86179638,24.00722179,0,"This work",0.002242152,0,0.719730942,0,0,0,0.278026906,0,249.2939416,846.8634198,5211.870751,113.0763944,476.1493317,210.2724727,377.9024509,0.00579236,0.359730436,0.014547596,0.023943101,0.046453556,0.380070391,1,1,1,0,0,0,0,0,0,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",3,12.30833333,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109","2","CentralTendency","Jones, Bielby, Cardillo, Fritz, O'Dell, Orme, ... and Purvis, 2009, Ecology, 90:2648-2648",1,0,1,"Assumed for this work","Assumed for this work",0.248878924,0.186098655,0.015695067,0.038116592,0.002242152,0,0.002242152,0,0.002242152,0.011210762,0,0.002242152,0.475336323,0.00896861,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"Herpestes flavescens",0,"1","XY","Herpestes flavescens","Herpestes","Herpestidae","Carnivora","Carnivora","Mammalia","BOCAGE, 1889",1889,"Mammals",0,355,"HBL",0,"Kingdon, Happold, Butynski, Hoffmann, Happold, and Kalina, 2013. Mammals of Africa, v. 1-6. London: Bloomsbury Publishing",750,0,"Faurby and Svenning, 2016, Am. Nat., 187:812-20",1,0,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",0,0,1,0,0,0,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",0.5,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Herpestes flavescens","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","LC",0,17.67663953,36,218022.2187,14.07766355,-17.67663953,0,"This work",1,0,0,0,0,0,0,0,221.0633679,365.6392815,2317.710069,117.8381678,958.2258927,601.3186236,7.98426364,0.000416851,0.029370739,0.035815045,0.406300949,0.442115994,0.065602634,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"","","","",1,0,1,"Assumed for this work","Assumed for this work",0,0,0,0,0,0,0.611111111,0,0,0,0,0,0.388888889,0,NA,0,1,0,0,1,0,0,1,0,0,0,0,3,NA
"Urva fusca",1,"0","YAfusion","Urva fusca","Herpestes","Herpestidae","Carnivora","Carnivora","Mammalia","WATERHOUSE, 1838",1838,"Mammals",0,650,"HBL",0,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",2700,0,"Faurby and Svenning, 2016, Am. Nat., 187:812-20",1,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",0.5,0,1,0,0,0,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",0.5,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Herpestes fuscus","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","LC",0,7.661929603,22,42988.50509,80.21228281,7.661929603,0,"This work",0,0,1,0,0,0,0,0,261.7047493,1956.963503,1075.282973,76.24614502,278.5944585,181.8896699,684.973454,0.006190878,0.203221257,0.022371026,5.45e-05,0.022799077,0.23178316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,12.6,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109","2.745","Midpoint","Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",1,0,1,"Assumed for this work","Assumed for this work",0.5,0.409090909,0,0,0,0,0,0,0,0,0,0,0.045454545,0,1,1,0,0,0,1,0,0,0,1,0,0,0,3,"0"
"Herpestes ichneumon",1,"0","YAfusion","Herpestes ichneumon","Herpestes","Herpestidae","Carnivora","Carnivora","Mammalia","LINNAEUS 1758",1758,"Mammals",0,608,"HBL",0,"Hoath, 2009. A Field Guide to the Mammals of Egypt. The American University in Cairo Press, New York, 322 p.",4000,0,"Hoath, 2009. A Field Guide to the Mammals of Egypt. The American University in Cairo Press, New York, 322 p.",0,1,0,"Burton, 2002. Mammals of Britain and Europe. Kingfisher Publications, London, 192 p.",1,0,1,0,0,0,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",0.5,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Herpestes ichneumon","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","LC",0,2.239355946,1459,14479380.57,21.70836079,2.239355946,0,"This work",0.813570939,0,0,0,0,0,0.186429061,0,236.095686,967.6026963,2443.562095,94.44543176,677.6624574,454.3569126,76.27071271,0.002646092,0.1299361,0.130992,0.097859815,0.24898974,0.263574193,1,1,1,1,0,0,1,0,1,1,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027; Maiorano, Montemaggiori, Ficetola, O-Connor, and Thuiller, 2020, Glob. Ecol. Biogeogr., 29:1452-1457",7,20,"Jones, Bielby, Cardillo, Fritz, O'Dell, Orme, ... and Purvis, 2009, Ecology, 90:2648-2648","3","CentralTendency","Jones, Bielby, Cardillo, Fritz, O'Dell, Orme, ... and Purvis, 2009, Ecology, 90:2648-2648",1,0,1,"Assumed for this work","Assumed for this work",0.126113777,0.001370802,0,0.008910212,0.000685401,0,0.625085675,0.001370802,0.020562029,0.013708019,0,0.102124743,0.089787526,0.005483208,1,0,0,0,0,1,0,0,0,0,0,0,1,2,"0.380952381"
"Urva javanica",1,"0","YAfusion","Urva javanica","Herpestes","Herpestidae","Carnivora","Carnivora","Mammalia","(É. GEOFFROY SAINT-HILAIRE, 1818)",1818,"Mammals",0,420,"HBL",0,"Francis, 2019. Field Guide to the Mammals of Southeast Asia. Bloomsbury, London, 416 p.",1800,0,"Francis, 2019. Field Guide to the Mammals of Southeast Asia. Bloomsbury, London, 416 p.",1,1,0,"Francis, 2019. Field Guide to the Mammals of Southeast Asia. Bloomsbury, London, 416 p.",0.5,0,1,0,0,0,0,"Francis, 2019. Field Guide to the Mammals of Southeast Asia. Bloomsbury, London, 416 p.",0.5,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,8,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Herpestes javanicus","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","LC",0,27.41817375,654,6061269.472,75.90313369,27.41817375,0,"This work",0.006116208,0,0.810397554,0,0,0,0.183486239,0,227.7502993,1292.351557,4648.88351,96.2591939,610.2906357,295.6055337,307.4002484,0.006406334,0.274107881,0.033355162,0.03195761,0.067561408,0.313869377,1,1,1,0,0,0,0,0,0,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",3,10,"Jones, Bielby, Cardillo, Fritz, O'Dell, Orme, ... and Purvis, 2009, Ecology, 90:2648-2648","2.21","CentralTendency","Jones, Bielby, Cardillo, Fritz, O'Dell, Orme, ... and Purvis, 2009, Ecology, 90:2648-2648",1,0,1,"Assumed for this work","Assumed for this work",0.544342508,0.145259939,0.012232416,0.010703364,0.003058104,0,0.001529052,0,0.001529052,0.035168196,0,0,0.221712538,0.019877676,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"Xenogale naso",0,"1","XY","Xenogale naso","Herpestes","Herpestidae","Carnivora","Carnivora","Mammalia","DE WINTON, 1901",1901,"Mammals",0,609,"HBL",0,"Kingdon, Happold, Butynski, Hoffmann, Happold, and Kalina, 2013. Mammals of Africa, v. 1-6. London: Bloomsbury Publishing",4500,0,"Kingdon, Happold, Butynski, Hoffmann, Happold, and Kalina, 2013. Mammals of Africa, v. 1-6. London: Bloomsbury Publishing",0,1,0,"Jones, Bielby, Cardillo, Fritz, O'Dell, Orme, ... and Purvis, 2009, Ecology, 90:2648-2648",1,0,1,0,0,0,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",0.5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Herpestes naso","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","LC",0,0.761241885,270,2656283.486,19.73596951,-0.761241885,0,"This work",1,0,0,0,0,0,0,0,233.7939555,1733.797209,669.6365463,48.80247408,537.9895143,656.6049364,29.26636259,0.001164418,0.035444212,0.052936377,0.023178565,0.091464015,0.089545007,1,1,1,0,0,0,0,0,0,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",3,11.30833333,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109","","","",1,0,1,"Assumed for this work","Assumed for this work",0.62962963,0,0,0,0,0,0.348148148,0,0,0,0,0,0,0.018518519,0,0,0,1,0,1,0,1,0,0,0,0,0,3,NA
"Herpestes ochraceus",0,"1","XY","Herpestes ochraceus","Herpestes","Herpestidae","Carnivora","Carnivora","Mammalia","(J.E. GRAY, 1848)",1848,"Mammals",1,290,"HBL",0,"Kingdon, Happold, Butynski, Hoffmann, Happold, and Kalina, 2013. Mammals of Africa, v. 1-6. London: Bloomsbury Publishing",3500,0,"Faurby and Svenning, 2016, Am. Nat., 187:812-20",1,0,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",0,0,1,0,0,0,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",0.5,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Herpestes ochraceus","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","LC",0,6.575681066,58,506958.2899,45.84695414,6.575681066,0,"This work",1,0,0,0,0,0,0,0,264.1225661,275.7173146,1287.531943,113.0369027,511.6112912,623.3508287,17.12638019,0.000520901,0.010097052,0,0.422320181,0.423247975,0.010617953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"","","","",1,0,1,"Assumed for this work","Assumed for this work",0.034482759,0,0,0,0,0,0.913793103,0,0,0,0,0,0.051724138,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Herpestes pulverulentus",1,"0","YAfusion","Herpestes pulverulentus","Herpestes","Herpestidae","Carnivora","Carnivora","Mammalia","(WAGNER, 1839)",1839,"Mammals",0,420,"HBL",0,"Kingdon, Happold, Butynski, Hoffmann, Happold, and Kalina, 2013. Mammals of Africa, v. 1-6. London: Bloomsbury Publishing",1250,0,"Kingdon, Happold, Butynski, Hoffmann, Happold, and Kalina, 2013. Mammals of Africa, v. 1-6. London: Bloomsbury Publishing",1,0,0,"Jones, Bielby, Cardillo, Fritz, O'Dell, Orme, ... and Purvis, 2009, Ecology, 90:2648-2648",0,0,1,0,0,0,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",0.5,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,3,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Herpestes pulverulentus","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","LC",0,30.55544069,89,770368.653,22.95556865,-30.55544069,0,"This work",1,0,0,0,0,0,0,0,168.3110091,371.0239315,4697.484074,57.369321,1032.569045,342.097431,23.57639256,0.001830281,0.038614777,0.071070184,0.420851528,0.532081476,0.111515242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,8.708333333,"Jones, Bielby, Cardillo, Fritz, O'Dell, Orme, ... and Purvis, 2009, Ecology, 90:2648-2648","2.25","CentralTendency","Jones, Bielby, Cardillo, Fritz, O'Dell, Orme, ... and Purvis, 2009, Ecology, 90:2648-2648",1,0,1,"Assumed for this work","Assumed for this work",0,0,0,0,0,0,0.123595506,0,0,0.134831461,0,0.202247191,0.539325843,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"Herpestes sanguineus",1,"0","YAfusion","Herpestes sanguineus","Herpestes","Herpestidae","Carnivora","Carnivora","Mammalia","(RÜPPELL, 1835)",1835,"Mammals",0,353,"HBL",0,"Kingdon, Happold, Butynski, Hoffmann, Happold, and Kalina, 2013. Mammals of Africa, v. 1-6. London: Bloomsbury Publishing",789,0,"Kingdon, Happold, Butynski, Hoffmann, Happold, and Kalina, 2013. Mammals of Africa, v. 1-6. London: Bloomsbury Publishing",1,0,0,"Jones, Bielby, Cardillo, Fritz, O'Dell, Orme, ... and Purvis, 2009, Ecology, 90:2648-2648",0,0,1,0,0,0,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",0.5,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,5,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Herpestes sanguineus","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","LC",0,2.03767136,1527,16793093.82,22.70456147,-2.03767136,0,"This work",0.998035363,0,0,0,0,0,0.001964637,0,238.0487555,966.1728556,2022.480738,91.10524441,741.8711332,500.3259111,53.52492101,0.002031596,0.110822132,0.119868193,0.156590536,0.280962039,0.232721921,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,6,"Jones, Bielby, Cardillo, Fritz, O'Dell, Orme, ... and Purvis, 2009, Ecology, 90:2648-2648","2.5","CentralTendency","Jones, Bielby, Cardillo, Fritz, O'Dell, Orme, ... and Purvis, 2009, Ecology, 90:2648-2648",1,0,1,"Assumed for this work","Assumed for this work",0.138834316,0.001309758,0,0,0,0,0.723641126,0,0.018991487,0.023575639,0,0,0.088408644,0.001964637,1,0,0,0,0,1,0,0,0,0,0,0,0,1,"0.3"
