"i" "asc1" "desc1" "asc2" "desc2" "tran12" "tran21" "p"
"1" 1 9.18903204459264 6.39756032108216 4.48258480666184 5.82668656849563 7.27065376866875 2.80918996853692 -191.909507008709
"2" 2 10.057121016592 6.14370616743653 4.66762651927496 5.92820989261073 7.58071887952104 2.66656899964579 -191.119478418365
"3" 3 9.35100573475037 4.52845778408568 4.56933952351632 6.35534811428041 5.21353216831618 2.77829894693595 -193.861354151206
"4" 4 7.23373025371614 4.14312046867686 5.15065428838731 6.4508591312367 9.92723893529362 4.79491372810574 -192.550592507002
"5" 5 7.20829403403713 3.99896737494547 4.98709382242526 6.13675142355929 11.7676351842477 4.23269380402801 -191.204952550429
"6" 6 6.68390663544976 2.40606109883897 4.21420727728906 5.11815038526903 17.9942014799406 2.75949818045047 -191.956228666474
"7" 7 9.3060589703464 1.84431222893412 3.98052385220017 5.23158626263811 13.1031649919851 2.9139965121531 -190.086414601849
"8" 8 8.2374670906752 1.8728092744301 3.95037477830125 5.35210614339891 10.1634181872633 1.88311595725134 -188.364036012848
"9" 9 7.96798914850798 0.0921599286167566 3.88921827359377 5.24124961808249 12.4585784635911 3.07461192922726 -189.547411489726
"10" 10 6.74931894155424 0.886638618605041 3.88206954510519 5.24704461663318 10.8464890392343 2.85310788913499 -186.085308606195
"11" 11 6.70678181011782 1.34437429941446 4.13242375304869 5.5764397532215 10.9728921316485 3.62777837375372 -187.89579528412
"12" 12 5.4109272657813 0.224477561690677 4.16434038793801 5.89175304625768 8.2692472045276 3.33271516895991 -186.412706756348
"13" 13 3.41295234633946 0.329816840469451 5.06490664630263 6.03838711040051 8.77805642025802 1.87933526290837 -185.473031369724
"14" 14 5.7911502920599 0.550234772085273 5.06252927210099 6.33634776947587 5.38031996659974 1.84785568815629 -186.449241468135
"15" 15 3.73473696544296 0.0625958373158742 5.54162284385444 6.53177725080244 5.49202096138003 1.4343664610085 -183.246725843846
