"i" "asc1" "desc1" "asc2" "desc2" "tran12" "tran21" "p"
"1" 1 8.68409352215632 21.0291342803803 3.8821196011715 4.37817713711207 4.41241237355232 2.59148288680446 -57.3836524175508
"2" 2 7.27223205687044 11.9055171565105 1.97213871919252 5.68917878772782 7.12570882718961 3.08084295347352 -52.069500481631
"3" 3 1.62973761989903 8.88646704459815 3.01644824951209 5.96994858904443 3.80909009738832 4.27972568416342 -46.0880129318622
"4" 4 1.92946855599986 6.31881148288915 0.969118762222427 3.60392054134217 2.2483180921335 1.12813413290145 -41.4059917002547
"5" 5 4.03483493257017 3.14542890531179 0.687278352022168 5.35088665297493 1.72368654012573 1.21950375519694 -39.0994641098505
"6" 6 3.33122203625798 2.90203410944248 0.787727267847746 5.55557760649285 1.81255522121809 1.97642028825574 -38.883828370053
"7" 7 1.5658990085911 2.96723929491947 0.155986017167098 1.64219396261646 0.971353035408951 2.21163242068771 -35.760761385464
"8" 8 1.11821471910598 1.80356072528368 0.0899118324224371 4.87122163828494 1.38765700440927 0.828669639573839 -35.3295740301398
"9" 9 2.01861323766331 1.70137764674053 0.258488185502897 3.37515390770089 0.698344892911088 0.855395224952633 -34.4967656004928
"10" 10 0.7833495095608 1.37027048481234 0.110194186999877 2.97753272556402 1.20068826180476 2.06991649866577 -33.825327528866
"11" 11 0.984402861695355 1.46473630001876 1.01113594182542 5.32628163689932 1.78007933359231 2.31795943063544 -36.6969868623635
"12" 12 1.00996716311899 1.96313220446089 2.37931528845848 6.34300535622998 1.75060456002128 1.90679217612035 -38.9034913738643
"13" 13 1.26024456783525 1.99446888241654 1.94975176062625 6.3009342503527 0.977446227090022 1.44226068424544 -37.5759774170823
"14" 14 1.28547910695698 2.337838297355 1.56666978963133 6.8900937594774 1.3036424918592 2.0722820521087 -38.0883449018364
"15" 15 1.32733382249412 1.24066062749112 0.552062567258919 3.05376139421481 2.03662770393537 1.1743165182498 -35.9009283092177
"16" 16 1.41016475913698 1.47367549200672 0.14495541635663 1.57243542678794 0.614108543858386 0.70890822897317 -33.1251798959494
"17" 17 0.616361487487193 0.801807524266475 0.0488711865105559 2.1203245759127 0.467187777611175 0.306093883771705 -29.8862081274182
"18" 18 0.617568743378802 0.590544536197882 0.150958620474593 1.88529924618298 0.368791839799179 0.426310941222975 -30.0516363842625
"19" 19 0.00873606854127603 0.700518497335093 0.580816923079932 4.32277633514868 0.296387035411498 0.624561597972715 -31.1112020708002
"20" 20 0.183074902081493 0.250107839363105 0.602835963042187 6.03168552895928 0.425360036793268 0.659291162895641 -30.6835408015497
"21" 21 0.145544800281812 0.0119973083199684 0.235502858460214 4.28927457934909 0.314050236461306 0.665370487335438 -30.0316761318412
"22" 22 0.117294026370001 0.82299127460518 0.287757885778781 3.74448273320214 0.352310359376231 0.22630876250477 -29.8207673798416
"23" 23 0.648525744865659 1.24423381684357 0.228192438449029 2.77052000946286 0.0800314526352083 0.119565780673312 -28.0378777437397
"24" 24 0.866028362044667 1.11354020515372 0.056581420626304 1.56536084990046 0.10579692447152 0.118904583785818 -27.6834672126883
